arm,prompt_id,first,second,text_sha
sel_n64,1nzes2,Tie,Tie,51facaf19aaa
sel_n64,2786lw,Tie,B,393bde528923
sel_n64,2ov45h,Tie,Tie,30d07f137d40
sel_n64,49u4dh,B,Tie,da39a3ee5e6b
sel_n64,4iorz7,Tie,Tie,3c1232052539
sel_n64,4xzr87,Tie,Tie,47f428dc89dc
sel_n64,53rqr9,Tie,Tie,3a52ce780950
sel_n64,5apkek,Tie,Tie,04333b283fd3
sel_n64,5e6rcz,Tie,B,25a2e995f854
sel_n64,5ec7q2,Tie,B,d25d89e35de4
sel_n64,5f5p86,Tie,Tie,e2de35576c10
sel_n64,5fqwjc,Tie,Tie,da39a3ee5e6b
sel_n64,5g58dz,Tie,B,8fef6ac62545
sel_n64,5gq4jc,Tie,Tie,6de871d2e0d8
sel_n64,5j7ypk,Tie,B,ce0a5b89cbe6
sel_n64,5je6l4,Tie,B,ffcec5b3a66b
sel_n64,5nc21f,Tie,A,fedd46e62c61
sel_n64,5nzsq6,Tie,Tie,da39a3ee5e6b
sel_n64,5ozqb9,Tie,Tie,890ab250c4d8
sel_n64,5qf97d,Tie,B,037f546afbc0
sel_n64,5qwzjo,Tie,Tie,451ae74b4aee
sel_n64,5r104c,Tie,B,b5367639238b
sel_n64,5te65i,Tie,B,bd2b718ff439
sel_n64,5umucz,Tie,B,ca29076355a3
sel_n64,5w4x14,Tie,Tie,844b27b09de2
sel_n64,609k0n,Tie,B,13eda2743462
sel_n64,625es0,Tie,B,c089ac8da207
sel_n64,63dn97,Tie,B,cb5d033eb3ce
sel_n64,63ku7q,Tie,Tie,da39a3ee5e6b
sel_n64,64c0w6,Tie,B,67b95b1019d8
sel_n64,65458n,Tie,B,fff90ce6337e
sel_n64,66uo64,Tie,Tie,58e10046f6c9
sel_n64,68f5c5,Tie,B,d97499ec953c
sel_n64,68ykga,Tie,B,42fee4d0cbc9
sel_n64,69dzba,Tie,Tie,da39a3ee5e6b
sel_n64,6d1iqq,Tie,Tie,1c9a1abafe2a
sel_n64,6eytds,B,Tie,5cf2370b71c6
sel_n64,6gl289,Tie,Tie,aec9df93b108
sel_n64,6hoxmq,Tie,Tie,3f0c480a699c
sel_n64,6imc4i,Tie,Tie,da39a3ee5e6b
sel_n64,6isay3,Tie,B,391f46bca147
sel_n64,6ixx9u,Tie,Tie,7050a9641367
sel_n64,6k8gdu,Tie,B,dc11ee960b70
sel_n64,6l6v6l,Tie,B,b26f2913b8fa
sel_n64,6m7z8a,Tie,B,942bfe678b90
sel_n64,6mztko,B,Tie,4ec9c35060c4
sel_n64,6o18uh,Tie,B,4fc94e549528
sel_n64,6o679d,Tie,A,8ebaf90494ec
sel_n64,6ohgxv,B,Tie,da39a3ee5e6b
sel_n64,6szrbs,Tie,Tie,b9c94318c921
sel_n64,6tsiyd,Tie,Tie,2533605d97d4
sel_n64,6wgtsx,Tie,Tie,da39a3ee5e6b
sel_n64,6wxzhc,Tie,Tie,86fa2dfca5bf
sel_n64,6xisxt,Tie,A,03ea18d12a76
sel_n64,6xngfe,Tie,Tie,da39a3ee5e6b
sel_n64,6xsruw,Tie,B,a04d645c2579
sel_n64,71p51h,Tie,B,190165fbdcf4
sel_n64,72l2aj,Tie,B,604592bb6a08
sel_n64,74ih3z,Tie,B,6f6d8f7baaa7
sel_n64,765fhd,Tie,B,d896f8acbd02
sel_n64,76b9gc,Tie,B,5320d995f8d7
sel_n64,77dd17,Tie,A,72843cf8b975
sel_n64,796161,Tie,A,fadb01950a2f
sel_n64,7adktz,Tie,B,259c27e0c0e0
sel_n64,7bowjq,Tie,B,4e69072e16f3
sel_n64,7d0x9k,Tie,Tie,74c580f7e1f5
sel_n64,7dcwik,Tie,B,9aed74435183
sel_n64,7e3im5,Tie,Tie,7a6ea2e951f6
sel_n64,7en7vl,Tie,B,ba7e87438f18
sel_n64,7ezd5t,Tie,B,0d6dc5ae9eaa
sel_n64,7gjj2w,Tie,A,825cec3283bc
sel_n64,7h9f8e,Tie,Tie,17a2a2dc2021
sel_n64,7iltd1,B,B,35c7822ba9c1
sel_n64,7iubwq,Tie,Tie,6e0c387ab6f9
sel_n64,7jfvx7,Tie,B,9cba28a51610
sel_n64,7jqj29,Tie,B,4a1331f5caca
sel_n64,7l7e1m,B,Tie,7c285020b07b
sel_n64,7ld0jk,Tie,B,42bef3bfc7b0
sel_n64,7lzk5g,Tie,Tie,bb77dbe516c1
sel_n64,7q0acw,Tie,Tie,b0086dbc8837
sel_n64,7rb6uj,Tie,B,376bc70d9989
sel_n64,7rie85,Tie,B,fe01951b1815
sel_n64,7rpy8m,Tie,B,7567ac614253
sel_n64,7svmp5,Tie,A,f74802d1707f
sel_n64,7tge90,Tie,Tie,ae2248c3e93d
sel_n64,7u04a5,Tie,B,e3a2b0915c96
sel_n64,7uezw8,Tie,Tie,882d1926baec
sel_n64,7v8ind,Tie,Tie,da39a3ee5e6b
sel_n64,80sf6g,Tie,B,bddfd9fa3454
sel_n64,83mehz,Tie,B,c1074396a846
sel_n64,849wc3,Tie,B,2b93fc4fbdcf
sel_n64,87ak6w,Tie,B,9fc01da5ff77
sel_n64,87tx3g,Tie,Tie,45c5f01653b1
sel_n64,8a18sf,Tie,Tie,da39a3ee5e6b
sel_n64,8aec6t,Tie,B,7689d4d4f44b
