prompt_id,rank,prompt_class,n_words,reward
1nzes2,0,creative,59,-26.6875
1nzes2,1,creative,118,-6.0
1nzes2,2,creative,150,-25.625
1nzes2,3,creative,0,-15.625
1nzes2,4,creative,93,-28.1875
1nzes2,5,creative,4,-27.125
1nzes2,6,creative,75,-25.9375
1nzes2,7,creative,0,-15.625
2786lw,0,creative,5,-29.0
2786lw,1,creative,123,-21.0
2786lw,2,creative,26,-17.375
2786lw,3,creative,161,-27.9375
2786lw,4,creative,0,-11.875
2786lw,5,creative,130,-27.0
2786lw,6,creative,48,-27.4375
2786lw,7,creative,170,-26.75
2ov45h,0,creative,8,-28.25
2ov45h,1,creative,75,-29.125
2ov45h,2,creative,137,-24.25
2ov45h,3,creative,163,-28.6875
2ov45h,4,creative,162,-21.375
2ov45h,5,creative,0,-19.25
2ov45h,6,creative,13,-23.5
2ov45h,7,creative,38,-10.0
49u4dh,0,creative,111,-13.125
49u4dh,1,creative,60,-28.0
49u4dh,2,creative,54,-25.25
49u4dh,3,creative,66,-23.875
49u4dh,4,creative,160,-26.75
49u4dh,5,creative,157,-27.3125
49u4dh,6,creative,0,-5.5
49u4dh,7,creative,90,-25.625
4iorz7,0,creative,109,-28.375
4iorz7,1,creative,53,-29.5625
4iorz7,2,creative,3,-28.0
4iorz7,3,creative,71,-28.0
4iorz7,4,creative,0,-16.0
4iorz7,5,creative,0,-16.0
4iorz7,6,creative,28,1.75
4iorz7,7,creative,151,-24.25
4xzr87,0,creative,62,-23.0
4xzr87,1,creative,165,-3.5
4xzr87,2,creative,0,-12.0
4xzr87,3,creative,0,-12.0
4xzr87,4,creative,158,-26.125
4xzr87,5,creative,87,-29.25
4xzr87,6,creative,172,-24.875
4xzr87,7,creative,16,-26.6875
53rqr9,0,creative,143,-27.5625
53rqr9,1,creative,159,-23.0
53rqr9,2,creative,10,-28.75
53rqr9,3,creative,137,-23.0
53rqr9,4,creative,173,-27.125
53rqr9,5,creative,9,-28.125
53rqr9,6,creative,5,-28.125
53rqr9,7,creative,145,-28.5625
5apkek,0,creative,26,-19.375
5apkek,1,creative,10,-27.625
5apkek,2,creative,0,-8.25
5apkek,3,creative,156,-27.0625
5apkek,4,creative,13,-8.25
5apkek,5,creative,148,-26.9375
5apkek,6,creative,0,-8.25
5apkek,7,creative,100,-26.9375
5e6rcz,0,creative,77,-28.0625
5e6rcz,1,creative,0,-14.75
5e6rcz,2,creative,85,-25.5625
5e6rcz,3,creative,0,-14.75
5e6rcz,4,creative,114,-28.3125
5e6rcz,5,creative,23,-30.8125
5e6rcz,6,creative,44,-30.0625
5e6rcz,7,creative,87,-23.375
5ec7q2,0,creative,166,-11.5
5ec7q2,1,creative,29,-6.0
5ec7q2,2,creative,154,-19.0
5ec7q2,3,creative,143,-15.875
5ec7q2,4,creative,169,-27.9375
5ec7q2,5,creative,151,-22.5
5ec7q2,6,creative,98,-27.3125
5ec7q2,7,creative,132,-28.0625
5f5p86,0,creative,162,-18.0
5f5p86,1,creative,162,-23.625
5f5p86,2,creative,53,-29.875
5f5p86,3,creative,167,-24.0
5f5p86,4,creative,90,-26.6875
5f5p86,5,creative,162,-27.375
5f5p86,6,creative,158,-24.75
5f5p86,7,creative,178,-26.375
5fqwjc,0,creative,10,-27.5
5fqwjc,1,creative,84,-28.5625
5fqwjc,2,creative,89,-29.9375
5fqwjc,3,creative,14,-28.1875
5fqwjc,4,creative,0,-15.99999
5fqwjc,5,creative,15,-29.875
5fqwjc,6,creative,71,-27.0
5fqwjc,7,creative,159,-29.5
5g58dz,0,creative,3,-27.625
5g58dz,1,creative,141,-21.625
5g58dz,2,creative,25,-10.5
5g58dz,3,creative,8,-25.8125
5g58dz,4,creative,23,-28.1875
5g58dz,5,creative,157,-28.0625
5g58dz,6,creative,21,-28.625
5g58dz,7,creative,53,-27.8125
5gq4jc,0,creative,121,-20.125
5gq4jc,1,creative,167,-24.125
5gq4jc,2,creative,0,-13.0
5gq4jc,3,creative,156,-24.125
5gq4jc,4,creative,73,-16.625
5gq4jc,5,creative,71,-27.625
5gq4jc,6,creative,174,-28.75
5gq4jc,7,creative,167,-28.5625
5j7ypk,0,creative,40,-9.5
5j7ypk,1,creative,0,-11.625
5j7ypk,2,creative,168,-23.25
5j7ypk,3,creative,27,-28.4375
5j7ypk,4,creative,171,-26.875
5j7ypk,5,creative,94,-24.375
5j7ypk,6,creative,139,-29.5625
5j7ypk,7,creative,159,-22.875
5je6l4,0,creative,16,-24.375
5je6l4,1,creative,0,-10.99999
5je6l4,2,creative,178,-23.0
5je6l4,3,creative,0,-10.99999
5je6l4,4,creative,176,-14.875
5je6l4,5,creative,175,-15.25
5je6l4,6,creative,53,-12.5
5je6l4,7,creative,6,-27.25
5nc21f,0,creative,13,-28.375
5nc21f,1,creative,167,-27.25
5nc21f,2,creative,0,-17.875
5nc21f,3,creative,0,-17.875
5nc21f,4,creative,176,-27.4375
5nc21f,5,creative,41,-18.5
5nc21f,6,creative,168,-28.75
5nc21f,7,creative,0,-17.875
5nzsq6,0,creative,161,-23.375
5nzsq6,1,creative,0,-2.5
5nzsq6,2,creative,49,-26.75
5nzsq6,3,creative,122,-8.0
5nzsq6,4,creative,59,-12.5
5nzsq6,5,creative,67,-11.125
5nzsq6,6,creative,95,-24.75
5nzsq6,7,creative,115,-25.875
5ozqb9,0,creative,43,-27.8125
5ozqb9,1,creative,0,-18.5
5ozqb9,2,creative,60,-27.5625
5ozqb9,3,creative,39,-14.875
5ozqb9,4,creative,61,-27.0
5ozqb9,5,creative,11,-25.75
5ozqb9,6,creative,53,-27.25
5ozqb9,7,creative,18,-15.0
5qf97d,0,creative,165,-28.75
5qf97d,1,creative,72,-27.125
5qf97d,2,creative,175,-29.6875
5qf97d,3,creative,155,-29.75
5qf97d,4,creative,169,-29.375
5qf97d,5,creative,0,-19.125
5qf97d,6,creative,152,-30.125
5qf97d,7,creative,98,-27.375
5qwzjo,0,creative,0,-10.87499
5qwzjo,1,creative,14,-28.0
5qwzjo,2,creative,26,-29.8125
5qwzjo,3,creative,161,-23.0
5qwzjo,4,creative,0,-10.87499
5qwzjo,5,creative,24,-29.9375
5qwzjo,6,creative,0,-10.87499
5qwzjo,7,creative,28,-17.875
5r104c,0,creative,1,-23.75
5r104c,1,creative,142,-13.125
5r104c,2,creative,51,-23.625
5r104c,3,creative,63,-22.5
5r104c,4,creative,25,-15.5
5r104c,5,creative,30,5.75
5r104c,6,creative,160,-21.75
5r104c,7,creative,149,-22.625
5te65i,0,creative,169,-27.875
5te65i,1,creative,20,-10.75
5te65i,2,creative,30,-20.875
5te65i,3,creative,138,-28.0625
5te65i,4,creative,166,-26.375
5te65i,5,creative,130,-24.125
5te65i,6,creative,146,-22.8125
5te65i,7,creative,165,-26.25
5umucz,0,creative,148,-25.5625
5umucz,1,creative,36,-14.25
5umucz,2,creative,49,-26.8125
5umucz,3,creative,152,-28.0
5umucz,4,creative,145,-25.75
5umucz,5,creative,166,-19.5
5umucz,6,creative,177,-27.1875
5umucz,7,creative,149,-24.375
5w4x14,0,creative,164,-28.625
5w4x14,1,creative,161,-26.375
5w4x14,2,creative,35,-26.625
5w4x14,3,creative,45,-30.0
5w4x14,4,creative,110,-28.6875
5w4x14,5,creative,4,-29.8125
5w4x14,6,creative,0,-24.875
5w4x14,7,creative,162,-27.5
609k0n,0,creative,1,-24.25
609k0n,1,creative,154,-26.8125
609k0n,2,creative,4,-19.25
609k0n,3,creative,62,-25.125
609k0n,4,creative,111,-25.4375
609k0n,5,creative,103,-12.25
609k0n,6,creative,21,-25.125
609k0n,7,creative,20,-13.0
625es0,0,creative,8,4.5
625es0,1,creative,9,-26.75
625es0,2,creative,151,-26.75
625es0,3,creative,24,-7.25
625es0,4,creative,131,-27.125
625es0,5,creative,7,-25.0
625es0,6,creative,0,-21.0
625es0,7,creative,78,-28.5
63dn97,0,creative,62,-23.5
63dn97,1,creative,142,-28.125
63dn97,2,creative,165,-28.25
63dn97,3,creative,144,-29.25
63dn97,4,creative,142,-29.1875
63dn97,5,creative,17,-27.625
63dn97,6,creative,37,-22.875
63dn97,7,creative,7,-28.375
63ku7q,0,creative,93,-15.5
63ku7q,1,creative,157,-26.875
63ku7q,2,creative,4,-24.0
63ku7q,3,creative,146,-23.375
63ku7q,4,creative,167,-28.5
63ku7q,5,creative,15,-29.125
63ku7q,6,creative,8,-27.125
63ku7q,7,creative,102,-17.75
64c0w6,0,creative,47,-29.25
64c0w6,1,creative,168,-27.875
64c0w6,2,creative,0,-13.74999
64c0w6,3,creative,136,-27.75
64c0w6,4,creative,160,-29.0625
64c0w6,5,creative,184,-20.5
64c0w6,6,creative,171,-28.8125
64c0w6,7,creative,164,-29.625
65458n,0,creative,9,-29.75
65458n,1,creative,145,-19.625
65458n,2,creative,41,-24.375
65458n,3,creative,130,-27.5625
65458n,4,creative,26,-26.25
65458n,5,creative,149,-29.0
65458n,6,creative,163,-26.375
65458n,7,creative,12,-28.4375
66uo64,0,creative,170,-27.4375
66uo64,1,creative,137,-28.6875
66uo64,2,creative,163,-28.75
66uo64,3,creative,168,-21.125
66uo64,4,creative,170,-28.9375
66uo64,5,creative,170,-25.5
66uo64,6,creative,11,-23.375
66uo64,7,creative,148,-27.125
68f5c5,0,creative,161,-20.625
68f5c5,1,creative,0,-3.75
68f5c5,2,creative,172,-28.5
68f5c5,3,creative,70,-26.0
68f5c5,4,creative,156,-25.375
68f5c5,5,creative,19,-25.25
68f5c5,6,creative,172,-28.0625
68f5c5,7,creative,125,-29.0
68ykga,0,creative,166,-17.625
68ykga,1,creative,127,-24.25
68ykga,2,creative,67,-25.125
68ykga,3,creative,140,-25.5
68ykga,4,creative,94,-28.9375
68ykga,5,creative,164,-9.0
68ykga,6,creative,136,-29.6875
68ykga,7,creative,0,-0.25
69dzba,0,creative,0,-10.99999
69dzba,1,creative,0,-10.99999
69dzba,2,creative,0,-10.99999
69dzba,3,creative,178,-18.875
69dzba,4,creative,107,-27.9375
69dzba,5,creative,0,-10.99999
69dzba,6,creative,0,-10.99999
69dzba,7,creative,0,-10.99999
6d1iqq,0,creative,159,-23.25
6d1iqq,1,creative,12,-27.0
6d1iqq,2,creative,153,-27.25
6d1iqq,3,creative,61,-29.1875
6d1iqq,4,creative,152,-26.5
6d1iqq,5,creative,42,-24.5
6d1iqq,6,creative,158,-26.5625
6d1iqq,7,creative,162,-26.375
6eytds,0,creative,157,-26.8125
6eytds,1,creative,160,-28.75
6eytds,2,creative,44,-24.6875
6eytds,3,creative,109,-17.0
6eytds,4,creative,159,-21.25
6eytds,5,creative,48,-25.5
6eytds,6,creative,106,-24.5
6eytds,7,creative,134,-28.625
6gl289,0,creative,158,-26.375
6gl289,1,creative,168,-29.25
6gl289,2,creative,166,-28.0625
6gl289,3,creative,141,-26.5
6gl289,4,creative,132,-26.4375
6gl289,5,creative,2,-19.375
6gl289,6,creative,71,-23.25
6gl289,7,creative,140,-28.875
6hoxmq,0,creative,137,-27.1875
6hoxmq,1,creative,92,-28.6875
6hoxmq,2,creative,0,-11.375
6hoxmq,3,creative,0,-11.375
6hoxmq,4,creative,157,-23.75
6hoxmq,5,creative,174,-28.0625
6hoxmq,6,creative,0,-11.375
6hoxmq,7,creative,0,-11.375
6imc4i,0,creative,0,-3.0
6imc4i,1,creative,155,-25.8125
6imc4i,2,creative,74,-27.8125
6imc4i,3,creative,13,-29.375
6imc4i,4,creative,59,-9.625
6imc4i,5,creative,163,-22.0
6imc4i,6,creative,177,-26.125
6imc4i,7,creative,161,-25.75
6isay3,0,creative,56,-28.375
6isay3,1,creative,116,-15.875
6isay3,2,creative,133,-26.375
6isay3,3,creative,102,-28.25
6isay3,4,creative,161,-19.75
6isay3,5,creative,0,-6.0
6isay3,6,creative,43,-29.0625
6isay3,7,creative,153,-28.1875
6ixx9u,0,creative,147,-17.875
6ixx9u,1,creative,155,-24.875
6ixx9u,2,creative,81,-28.1875
6ixx9u,3,creative,161,-8.25
6ixx9u,4,creative,139,-29.6875
6ixx9u,5,creative,57,-12.0
6ixx9u,6,creative,7,-11.75
6ixx9u,7,creative,23,-26.875
6k8gdu,0,creative,25,-11.0
6k8gdu,1,creative,155,-29.3125
6k8gdu,2,creative,153,-28.0625
6k8gdu,3,creative,152,-28.0625
6k8gdu,4,creative,161,-28.75
6k8gdu,5,creative,42,-19.0
6k8gdu,6,creative,173,-11.87495
6k8gdu,7,creative,159,-27.4375
6l6v6l,0,creative,69,-28.4375
6l6v6l,1,creative,12,-25.375
6l6v6l,2,creative,0,-18.375
6l6v6l,3,creative,20,-28.5625
6l6v6l,4,creative,74,-22.375
6l6v6l,5,creative,164,-27.25
6l6v6l,6,creative,170,-24.0
6l6v6l,7,creative,119,-16.375
6m7z8a,0,creative,170,-28.4375
6m7z8a,1,creative,0,-23.9375
6m7z8a,2,creative,170,-27.1875
6m7z8a,3,creative,26,-26.25
6m7z8a,4,creative,46,-26.625
6m7z8a,5,creative,150,-25.625
6m7z8a,6,creative,167,-25.0
6m7z8a,7,creative,36,-26.8125
6mztko,0,creative,153,-23.625
6mztko,1,creative,50,-24.5
6mztko,2,creative,159,-25.625
6mztko,3,creative,173,-27.0
6mztko,4,creative,1,-27.25
6mztko,5,creative,0,-15.875
6mztko,6,creative,0,-15.875
6mztko,7,creative,0,-15.875
6o18uh,0,creative,150,-28.0625
6o18uh,1,creative,30,-27.1875
6o18uh,2,creative,177,-26.5625
6o18uh,3,creative,60,-27.5625
6o18uh,4,creative,21,-29.25
6o18uh,5,creative,22,-28.0625
6o18uh,6,creative,136,-26.375
6o18uh,7,creative,10,-22.75
6o679d,0,creative,139,-28.75
6o679d,1,creative,60,-30.1875
6o679d,2,creative,19,-28.6875
6o679d,3,creative,60,-22.125
6o679d,4,creative,4,-28.6875
6o679d,5,creative,63,-28.75
6o679d,6,creative,165,-28.9375
6o679d,7,creative,12,-27.0
6ohgxv,0,creative,58,-21.0625
6ohgxv,1,creative,40,-25.25
6ohgxv,2,creative,25,-23.75
6ohgxv,3,creative,150,4.75
6ohgxv,4,creative,169,-23.875
6ohgxv,5,creative,0,6.5
6ohgxv,6,creative,11,-20.375
6ohgxv,7,creative,97,-25.5
6szrbs,0,creative,64,-20.875
6szrbs,1,creative,43,-20.5
6szrbs,2,creative,157,-26.5625
6szrbs,3,creative,165,-23.25
6szrbs,4,creative,142,-20.75
6szrbs,5,creative,164,-25.625
6szrbs,6,creative,171,-27.125
6szrbs,7,creative,176,-19.625
6tsiyd,0,creative,98,-27.6875
6tsiyd,1,creative,175,-28.3125
6tsiyd,2,creative,52,-26.5625
6tsiyd,3,creative,57,-26.625
6tsiyd,4,creative,25,-25.75
6tsiyd,5,creative,166,-17.75
6tsiyd,6,creative,139,-27.25
6tsiyd,7,creative,19,-26.25
6wgtsx,0,creative,84,-27.4375
6wgtsx,1,creative,74,-19.875
6wgtsx,2,creative,18,-26.625
6wgtsx,3,creative,161,-29.0625
6wgtsx,4,creative,158,-25.5625
6wgtsx,5,creative,147,-28.8125
6wgtsx,6,creative,152,-23.0
6wgtsx,7,creative,103,-29.625
6wxzhc,0,creative,0,-6.5
6wxzhc,1,creative,0,-6.5
6wxzhc,2,creative,33,-27.375
6wxzhc,3,creative,169,-26.75
6wxzhc,4,creative,0,-6.5
6wxzhc,5,creative,75,-25.375
6wxzhc,6,creative,12,-22.125
6wxzhc,7,creative,157,-24.125
6xisxt,0,creative,130,-25.75
6xisxt,1,creative,148,-22.875
6xisxt,2,creative,171,-27.0
6xisxt,3,creative,49,-27.5625
6xisxt,4,creative,47,-18.375
6xisxt,5,creative,73,-28.625
6xisxt,6,creative,167,-27.75
6xisxt,7,creative,117,-28.9375
6xngfe,0,creative,168,-24.875
6xngfe,1,creative,0,-9.375
6xngfe,2,creative,31,-22.625
6xngfe,3,creative,5,-25.0
6xngfe,4,creative,56,-24.375
6xngfe,5,creative,0,-9.375
6xngfe,6,creative,169,-27.125
6xngfe,7,creative,73,-27.4375
6xsruw,0,creative,63,-1.75
6xsruw,1,creative,134,-18.25
6xsruw,2,creative,64,-22.25
6xsruw,3,creative,0,-1.25
6xsruw,4,creative,19,-5.875
6xsruw,5,creative,104,-15.125
6xsruw,6,creative,175,-26.0
6xsruw,7,creative,59,-23.0
71p51h,0,creative,16,-13.375
71p51h,1,creative,166,-29.75
71p51h,2,creative,165,-26.75
71p51h,3,creative,0,0.75
71p51h,4,creative,179,-26.25
71p51h,5,creative,72,-10.0
71p51h,6,creative,105,-28.4375
71p51h,7,creative,154,-27.4375
72l2aj,0,creative,166,-28.5
72l2aj,1,creative,76,-22.125
72l2aj,2,creative,152,-26.25
72l2aj,3,creative,143,-28.75
72l2aj,4,creative,176,-28.0
72l2aj,5,creative,113,-25.4375
72l2aj,6,creative,166,-28.5
72l2aj,7,creative,112,-29.375
74ih3z,0,creative,167,-27.75
74ih3z,1,creative,153,-28.1875
74ih3z,2,creative,163,-27.0
74ih3z,3,creative,118,-8.125
74ih3z,4,creative,161,-21.25
74ih3z,5,creative,153,-26.5
74ih3z,6,creative,145,-25.875
74ih3z,7,creative,169,-16.25
765fhd,0,creative,164,-26.25
765fhd,1,creative,162,-22.875
765fhd,2,creative,74,-25.375
765fhd,3,creative,37,-28.375
765fhd,4,creative,150,-28.3125
765fhd,5,creative,0,-15.125
765fhd,6,creative,44,-22.0
765fhd,7,creative,0,-15.125
76b9gc,0,creative,70,-26.125
76b9gc,1,creative,0,-20.0
76b9gc,2,creative,146,-27.3125
76b9gc,3,creative,165,-18.375
76b9gc,4,creative,14,-15.24999
76b9gc,5,creative,116,-26.875
76b9gc,6,creative,60,-17.5
76b9gc,7,creative,44,-27.5625
77dd17,0,creative,46,-28.125
77dd17,1,creative,162,-25.5
77dd17,2,creative,52,-27.375
77dd17,3,creative,170,-25.6875
77dd17,4,creative,175,-28.8125
77dd17,5,creative,73,-25.25
77dd17,6,creative,142,-29.625
77dd17,7,creative,137,-27.0
796161,0,creative,5,-26.5
796161,1,creative,62,-22.875
796161,2,creative,41,-4.0
796161,3,creative,167,-19.375
796161,4,creative,104,-9.49999
796161,5,creative,159,-30.0
796161,6,creative,6,-18.0
796161,7,creative,67,-28.5
7adktz,0,creative,138,-26.875
7adktz,1,creative,45,-25.3125
7adktz,2,creative,16,-28.9375
7adktz,3,creative,162,-27.625
7adktz,4,creative,152,-23.625
7adktz,5,creative,0,-14.75
7adktz,6,creative,111,-22.0
7adktz,7,creative,49,-13.375
7bowjq,0,creative,5,-27.8125
7bowjq,1,creative,171,-27.5625
7bowjq,2,creative,133,-23.875
7bowjq,3,creative,145,-26.75
7bowjq,4,creative,68,-4.75
7bowjq,5,creative,112,-1.75
7bowjq,6,creative,176,-24.625
7bowjq,7,creative,154,-25.8125
7d0x9k,0,creative,3,-27.6875
7d0x9k,1,creative,0,-0.75
7d0x9k,2,creative,162,-25.25
7d0x9k,3,creative,0,-0.75
7d0x9k,4,creative,0,-0.75
7d0x9k,5,creative,152,-6.25
7d0x9k,6,creative,84,-26.0
7d0x9k,7,creative,2,-27.3125
7dcwik,0,creative,10,-24.5
7dcwik,1,creative,0,-22.875
7dcwik,2,creative,169,-25.625
7dcwik,3,creative,0,-22.875
7dcwik,4,creative,86,-27.9375
7dcwik,5,creative,0,-22.875
7dcwik,6,creative,0,-22.875
7dcwik,7,creative,7,-22.4375
7e3im5,0,creative,0,-18.25
7e3im5,1,creative,11,-29.5625
7e3im5,2,creative,163,-29.0625
7e3im5,3,creative,30,-1.5
7e3im5,4,creative,22,-28.5
7e3im5,5,creative,0,-18.25
7e3im5,6,creative,0,-18.25
7e3im5,7,creative,0,-18.25
7en7vl,0,creative,141,-29.375
7en7vl,1,creative,24,-27.75
7en7vl,2,creative,164,-21.375
