judge,prompt_id,u_n1,u_n2,u_n4,u_n8,u_n16,u_n32,u_n64
Phi-3.5-mini-instruct,1nzes2,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,2786lw,0.0,0.0,1.0,0.0,0.5,1.0,1.0
Phi-3.5-mini-instruct,2ov45h,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,49u4dh,0.0,0.0,1.0,1.0,1.0,0.0,0.5
Phi-3.5-mini-instruct,4iorz7,0.5,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,4xzr87,0.5,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,53rqr9,0.0,0.0,0.0,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,5apkek,0.5,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,5e6rcz,0.0,1.0,1.0,1.0,0.5,1.0,1.0
Phi-3.5-mini-instruct,5ec7q2,1.0,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,5f5p86,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,5fqwjc,0.0,0.0,0.0,0.0,0.0,1.0,0.5
Phi-3.5-mini-instruct,5g58dz,1.0,0.0,1.0,1.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,5gq4jc,0.5,0.5,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,5j7ypk,0.5,1.0,0.0,1.0,0.0,1.0,0.5
Phi-3.5-mini-instruct,5je6l4,0.5,0.0,0.5,1.0,0.5,0.0,0.5
Phi-3.5-mini-instruct,5nc21f,0.0,0.5,1.0,1.0,0.5,0.5,1.0
Phi-3.5-mini-instruct,5nzsq6,0.0,0.5,0.5,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,5ozqb9,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,5qf97d,0.0,0.0,0.0,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,5qwzjo,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,5r104c,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,5te65i,1.0,0.5,0.5,0.5,0.5,0.0,0.5
Phi-3.5-mini-instruct,5umucz,0.5,0.0,0.0,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,5w4x14,1.0,0.0,0.0,0.0,0.5,0.0,0.0
Phi-3.5-mini-instruct,609k0n,1.0,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,625es0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,63dn97,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,63ku7q,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,64c0w6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,65458n,1.0,0.5,0.5,0.5,1.0,1.0,1.0
Phi-3.5-mini-instruct,66uo64,0.0,0.5,1.0,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,68f5c5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,68ykga,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,69dzba,1.0,1.0,1.0,1.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,6d1iqq,0.5,0.5,0.5,0.0,1.0,1.0,0.5
Phi-3.5-mini-instruct,6eytds,1.0,1.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,6gl289,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,6hoxmq,0.5,1.0,1.0,1.0,0.5,1.0,1.0
Phi-3.5-mini-instruct,6imc4i,0.5,0.5,0.5,0.5,0.5,1.0,1.0
Phi-3.5-mini-instruct,6isay3,0.5,0.5,0.0,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,6ixx9u,1.0,0.5,1.0,0.5,1.0,0.5,1.0
Phi-3.5-mini-instruct,6k8gdu,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,6l6v6l,1.0,1.0,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,6m7z8a,1.0,1.0,0.5,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,6mztko,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,6o18uh,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,6o679d,1.0,1.0,0.5,0.5,1.0,0.5,0.0
Phi-3.5-mini-instruct,6ohgxv,0.0,1.0,0.0,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,6szrbs,0.5,1.0,0.5,0.5,0.0,1.0,1.0
Phi-3.5-mini-instruct,6tsiyd,0.5,0.5,1.0,1.0,0.5,0.0,0.0
Phi-3.5-mini-instruct,6wgtsx,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Phi-3.5-mini-instruct,6wxzhc,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,6xisxt,1.0,1.0,1.0,1.0,0.5,1.0,1.0
