prompt_id,rank,prompt_class,n_words,reward
mtbench_100,0,factual,176,-29.1875
mtbench_100,1,factual,169,-28.375
mtbench_100,2,factual,77,-25.75
mtbench_100,3,factual,32,-25.375
mtbench_100,4,factual,136,-27.4375
mtbench_100,5,factual,166,-23.3125
mtbench_100,6,factual,157,-28.8125
mtbench_100,7,factual,62,4.25227
mtbench_100,8,factual,177,-26.5
mtbench_100,9,factual,145,-29.875
mtbench_100,10,factual,173,-12.5
mtbench_100,11,factual,125,-29.375
mtbench_100,12,factual,181,-29.3125
mtbench_100,13,factual,177,-25.75
mtbench_100,14,factual,177,-28.3125
mtbench_100,15,factual,193,-25.5
mtbench_100,16,factual,178,-26.125
mtbench_100,17,factual,12,-10.75
mtbench_100,18,factual,166,-28.75
mtbench_100,19,factual,153,-28.75
mtbench_100,20,factual,161,-28.9375
mtbench_100,21,factual,179,-21.0
mtbench_100,22,factual,181,-28.9375
mtbench_100,23,factual,164,-25.5
mtbench_100,24,factual,158,-26.6875
mtbench_100,25,factual,173,-29.4375
mtbench_100,26,factual,181,-24.75
mtbench_100,27,factual,177,-28.75
mtbench_100,28,factual,177,-29.375
mtbench_100,29,factual,159,-29.1875
mtbench_100,30,factual,163,-30.125
mtbench_100,31,factual,127,-28.9375
mtbench_100,32,factual,127,-27.375
mtbench_100,33,factual,179,-28.5625
mtbench_100,34,factual,151,-24.75
mtbench_100,35,factual,183,-26.1875
mtbench_100,36,factual,156,-29.5
mtbench_100,37,factual,160,-30.25
mtbench_100,38,factual,172,-27.25
mtbench_100,39,factual,37,-27.8125
mtbench_100,40,factual,166,-28.9375
mtbench_100,41,factual,156,-29.8125
mtbench_100,42,factual,168,-28.3125
mtbench_100,43,factual,173,-23.625
mtbench_100,44,factual,182,-28.6875
mtbench_100,45,factual,151,-26.25
mtbench_100,46,factual,160,-29.5625
mtbench_100,47,factual,172,-26.625
mtbench_100,48,factual,177,-26.5
mtbench_100,49,factual,171,-27.9375
mtbench_100,50,factual,163,-28.6875
mtbench_100,51,factual,184,-22.125
mtbench_100,52,factual,181,-25.3125
mtbench_100,53,factual,177,-28.125
mtbench_100,54,factual,174,-27.5
mtbench_100,55,factual,177,-28.8125
mtbench_100,56,factual,175,-28.9375
mtbench_100,57,factual,158,-28.125
mtbench_100,58,factual,35,-28.75
mtbench_100,59,factual,182,-30.8125
mtbench_100,60,factual,183,-22.0
mtbench_100,61,factual,12,-11.5
mtbench_100,62,factual,176,-28.5
mtbench_100,63,factual,172,-27.4375
mtbench_100,64,factual,175,-28.3125
mtbench_100,65,factual,165,-27.375
mtbench_100,66,factual,182,-25.875
mtbench_100,67,factual,180,-27.6875
mtbench_100,68,factual,31,-27.0625
mtbench_100,69,factual,163,-29.875
mtbench_100,70,factual,186,-28.625
mtbench_100,71,factual,184,-28.25
mtbench_100,72,factual,48,-22.75
mtbench_100,73,factual,181,-28.5
mtbench_100,74,factual,25,-27.375
mtbench_100,75,factual,163,-27.5625
mtbench_100,76,factual,147,-27.875
mtbench_100,77,factual,153,-28.8125
mtbench_100,78,factual,125,-27.5625
mtbench_100,79,factual,148,-28.375
mtbench_100,80,factual,169,-28.0625
mtbench_100,81,factual,171,-29.0625
mtbench_100,82,factual,178,-30.0625
mtbench_100,83,factual,176,-29.0
mtbench_100,84,factual,154,-18.75
mtbench_100,85,factual,114,-12.875
mtbench_100,86,factual,170,-28.25
mtbench_100,87,factual,174,-28.3125
mtbench_100,88,factual,161,-29.9375
mtbench_100,89,factual,183,-15.375
mtbench_100,90,factual,166,-26.5
mtbench_100,91,factual,65,-25.0
mtbench_100,92,factual,131,-28.375
mtbench_100,93,factual,169,-29.875
mtbench_100,94,factual,189,-13.375
mtbench_100,95,factual,150,-27.6875
mtbench_100,96,factual,85,-21.875
mtbench_100,97,factual,182,-18.125
mtbench_100,98,factual,162,-29.0
mtbench_100,99,factual,143,-24.625
mtbench_100,100,factual,173,-27.875
mtbench_100,101,factual,181,-29.25
mtbench_100,102,factual,146,-28.625
mtbench_100,103,factual,171,-22.875
mtbench_100,104,factual,170,-28.125
mtbench_100,105,factual,170,-26.375
mtbench_100,106,factual,184,-27.75
mtbench_100,107,factual,92,-18.875
mtbench_100,108,factual,151,-28.125
mtbench_100,109,factual,173,-26.4375
mtbench_100,110,factual,161,-27.0625
mtbench_100,111,factual,173,-27.5625
mtbench_100,112,factual,113,-29.3125
mtbench_100,113,factual,90,-27.3125
mtbench_100,114,factual,178,-27.8125
mtbench_100,115,factual,178,-28.6875
mtbench_100,116,factual,51,-29.25
mtbench_100,117,factual,169,-25.25
mtbench_100,118,factual,162,-29.375
mtbench_100,119,factual,175,-19.5
mtbench_100,120,factual,151,-29.5
mtbench_100,121,factual,168,-28.25
mtbench_100,122,factual,189,-28.75
mtbench_100,123,factual,171,-26.5625
mtbench_100,124,factual,165,-23.5
mtbench_100,125,factual,183,-25.5
mtbench_100,126,factual,154,-28.8125
mtbench_100,127,factual,53,-27.6875
mtbench_100,128,factual,174,-30.1875
mtbench_100,129,factual,180,-27.4375
mtbench_100,130,factual,153,-24.5
mtbench_100,131,factual,175,-26.25
mtbench_100,132,factual,184,-27.3125
mtbench_100,133,factual,168,-27.375
mtbench_100,134,factual,168,-27.0625
mtbench_100,135,factual,134,-26.5
mtbench_100,136,factual,116,-27.25
mtbench_100,137,factual,113,-28.125
mtbench_100,138,factual,162,-28.75
mtbench_100,139,factual,150,-25.375
mtbench_100,140,factual,162,-27.875
mtbench_100,141,factual,190,-22.0
mtbench_100,142,factual,180,-27.6875
mtbench_100,143,factual,66,-29.0
mtbench_100,144,factual,175,-27.5
mtbench_100,145,factual,179,-29.625
mtbench_100,146,factual,178,-26.125
mtbench_100,147,factual,133,-31.0625
mtbench_100,148,factual,180,-29.0625
mtbench_100,149,factual,164,-21.0
mtbench_100,150,factual,74,-27.375
mtbench_100,151,factual,166,-30.375
mtbench_100,152,factual,149,-15.0
