prompt_id,rank,prompt_class,n_words,reward
cta_qa_0000,0,factual,184,-19.875
cta_qa_0000,1,factual,89,-16.625
cta_qa_0000,2,factual,84,-16.0
cta_qa_0000,3,factual,66,-25.75
cta_qa_0000,4,factual,127,-25.6875
cta_qa_0000,5,factual,126,-26.3125
cta_qa_0000,6,factual,99,-21.625
cta_qa_0000,7,factual,47,-25.4375
cta_qa_0000,8,factual,172,-25.375
cta_qa_0000,9,factual,163,-23.625
cta_qa_0000,10,factual,169,-21.125
cta_qa_0000,11,factual,100,-26.5625
cta_qa_0000,12,factual,169,-15.875
cta_qa_0000,13,factual,76,-13.0
cta_qa_0000,14,factual,184,-23.9375
cta_qa_0000,15,factual,155,-22.75
cta_qa_0000,16,factual,158,-26.9375
cta_qa_0000,17,factual,26,-24.8125
cta_qa_0000,18,factual,107,-21.625
cta_qa_0000,19,factual,136,-13.625
cta_qa_0000,20,factual,175,-27.25
cta_qa_0000,21,factual,141,-16.625
cta_qa_0000,22,factual,36,-25.3125
cta_qa_0000,23,factual,149,-25.8125
cta_qa_0000,24,factual,45,-22.875
cta_qa_0000,25,factual,41,-24.4375
cta_qa_0000,26,factual,177,-24.8125
cta_qa_0000,27,factual,42,-20.0
cta_qa_0000,28,factual,172,-21.75
cta_qa_0000,29,factual,69,-27.5625
cta_qa_0000,30,factual,41,-22.375
cta_qa_0000,31,factual,166,-20.375
cta_qa_0000,32,factual,167,-22.5
cta_qa_0000,33,factual,131,-24.1875
cta_qa_0000,34,factual,140,-23.75
cta_qa_0000,35,factual,167,-24.375
cta_qa_0000,36,factual,63,-24.0
cta_qa_0000,37,factual,170,-24.75
cta_qa_0000,38,factual,95,-20.375
cta_qa_0000,39,factual,168,-21.1875
cta_qa_0000,40,factual,45,-24.25
cta_qa_0000,41,factual,156,-23.0
cta_qa_0000,42,factual,154,-25.5
cta_qa_0000,43,factual,163,-21.9375
cta_qa_0000,44,factual,76,-23.0
cta_qa_0000,45,factual,50,-24.8125
cta_qa_0000,46,factual,170,-20.625
cta_qa_0000,47,factual,47,-25.5625
cta_qa_0000,48,factual,40,-21.5
cta_qa_0000,49,factual,169,-24.75
cta_qa_0000,50,factual,123,-4.0
cta_qa_0000,51,factual,142,-18.75
cta_qa_0000,52,factual,175,-13.875
cta_qa_0000,53,factual,57,-24.25
cta_qa_0000,54,factual,157,-14.875
cta_qa_0000,55,factual,189,-23.0
cta_qa_0000,56,factual,39,-22.875
cta_qa_0000,57,factual,192,-25.4375
cta_qa_0000,58,factual,150,-14.125
cta_qa_0000,59,factual,86,-20.875
cta_qa_0000,60,factual,119,-10.0
cta_qa_0000,61,factual,36,-23.625
cta_qa_0000,62,factual,91,-25.9375
cta_qa_0000,63,factual,176,-23.0
cta_qa_0001,0,factual,36,-23.9375
cta_qa_0001,1,factual,35,-25.9375
cta_qa_0001,2,factual,144,-23.625
cta_qa_0001,3,factual,36,-23.625
cta_qa_0001,4,factual,62,-25.25
cta_qa_0001,5,factual,58,-25.8125
cta_qa_0001,6,factual,33,-25.0
cta_qa_0001,7,factual,40,-25.875
cta_qa_0001,8,factual,78,-20.75
cta_qa_0001,9,factual,169,-25.875
cta_qa_0001,10,factual,31,-25.75
cta_qa_0001,11,factual,174,-23.375
cta_qa_0001,12,factual,67,-20.125
cta_qa_0001,13,factual,29,-26.0625
cta_qa_0001,14,factual,168,-21.875
cta_qa_0001,15,factual,33,-25.625
cta_qa_0001,16,factual,135,-24.125
cta_qa_0001,17,factual,32,-26.25
cta_qa_0001,18,factual,30,-23.75
cta_qa_0001,19,factual,133,-24.6875
cta_qa_0001,20,factual,28,-23.75
cta_qa_0001,21,factual,59,-25.6875
cta_qa_0001,22,factual,34,-23.625
cta_qa_0001,23,factual,46,-26.875
cta_qa_0001,24,factual,31,-21.625
cta_qa_0001,25,factual,137,-23.5625
cta_qa_0001,26,factual,109,-26.875
cta_qa_0001,27,factual,29,-23.0
cta_qa_0001,28,factual,142,-25.75
cta_qa_0001,29,factual,171,-21.0
cta_qa_0001,30,factual,149,-23.0
cta_qa_0001,31,factual,47,-19.375
cta_qa_0001,32,factual,62,-24.5
cta_qa_0001,33,factual,163,-26.0625
cta_qa_0001,34,factual,32,-25.375
cta_qa_0001,35,factual,26,-24.75
cta_qa_0001,36,factual,59,-23.25
cta_qa_0001,37,factual,29,-26.5
cta_qa_0001,38,factual,30,-21.75
cta_qa_0001,39,factual,91,-19.625
cta_qa_0001,40,factual,40,-18.75
cta_qa_0001,41,factual,36,-24.875
cta_qa_0001,42,factual,25,-26.1875
cta_qa_0001,43,factual,49,-26.9375
cta_qa_0001,44,factual,140,-23.125
cta_qa_0001,45,factual,61,-25.0625
cta_qa_0001,46,factual,159,-4.0
cta_qa_0001,47,factual,159,-23.625
cta_qa_0001,48,factual,101,-26.375
cta_qa_0001,49,factual,167,-24.0
cta_qa_0001,50,factual,184,-23.4375
cta_qa_0001,51,factual,37,-22.625
cta_qa_0001,52,factual,150,-21.0
cta_qa_0001,53,factual,160,-18.375
cta_qa_0001,54,factual,117,-18.875
cta_qa_0001,55,factual,31,-25.875
cta_qa_0001,56,factual,106,-23.1875
cta_qa_0001,57,factual,28,-24.875
cta_qa_0001,58,factual,46,-22.8125
cta_qa_0001,59,factual,164,-23.5625
cta_qa_0001,60,factual,114,-23.4375
cta_qa_0001,61,factual,168,-22.3125
cta_qa_0001,62,factual,53,-22.75
cta_qa_0001,63,factual,47,-7.625
cta_qa_0002,0,factual,45,-20.375
cta_qa_0002,1,factual,163,-25.0625
cta_qa_0002,2,factual,128,-25.0625
cta_qa_0002,3,factual,28,-27.0
cta_qa_0002,4,factual,100,-23.5
cta_qa_0002,5,factual,22,-26.4375
cta_qa_0002,6,factual,94,-24.9375
cta_qa_0002,7,factual,152,-19.5
cta_qa_0002,8,factual,79,-22.875
cta_qa_0002,9,factual,141,-2.25
cta_qa_0002,10,factual,129,-25.5
cta_qa_0002,11,factual,157,-28.5625
cta_qa_0002,12,factual,21,-27.6875
cta_qa_0002,13,factual,150,-20.25
cta_qa_0002,14,factual,151,-22.5
cta_qa_0002,15,factual,157,-23.4375
cta_qa_0002,16,factual,123,-24.375
cta_qa_0002,17,factual,162,-27.0
cta_qa_0002,18,factual,136,-23.625
cta_qa_0002,19,factual,23,-27.375
cta_qa_0002,20,factual,40,-26.6875
cta_qa_0002,21,factual,14,-26.5625
cta_qa_0002,22,factual,25,-26.6875
cta_qa_0002,23,factual,30,-25.75
cta_qa_0002,24,factual,146,-26.5625
cta_qa_0002,25,factual,18,-26.3125
cta_qa_0002,26,factual,26,-25.75
cta_qa_0002,27,factual,18,-26.5
