prompt_id,rank,reward
cta_qa_0000,0,-10.990763
cta_qa_0000,1,-6.092823
cta_qa_0000,2,0.379286
cta_qa_0000,3,-3.537696
cta_qa_0000,4,0.174599
cta_qa_0000,5,-1.876025
cta_qa_0000,6,-4.615922
cta_qa_0000,7,-2.479188
cta_qa_0000,8,-9.152884
cta_qa_0000,9,-4.924671
cta_qa_0000,10,0.886584
cta_qa_0000,11,-28.124998
cta_qa_0000,12,-5.248271
cta_qa_0000,13,-8.931183
cta_qa_0000,14,-3.603065
cta_qa_0000,15,-5.362333
cta_qa_0000,16,-12.478103
cta_qa_0000,17,-9.216398
cta_qa_0000,18,-12.834134
cta_qa_0000,19,-27.999998
cta_qa_0000,20,-12.065681
cta_qa_0000,21,-20.731186
cta_qa_0000,22,-12.986058
cta_qa_0000,23,-12.566496
cta_qa_0000,24,-12.103491
cta_qa_0000,25,-16.471029
cta_qa_0000,26,-13.368629
cta_qa_0000,27,-28.312498
cta_qa_0000,28,-13.032119
cta_qa_0000,29,-27.999998
cta_qa_0000,30,-28.062498
cta_qa_0000,31,-19.726395
cta_qa_0000,32,-12.269792
cta_qa_0000,33,-9.914589
cta_qa_0000,34,-15.624127
cta_qa_0000,35,-12.899028
cta_qa_0000,36,-9.689125
cta_qa_0000,37,-14.905538
cta_qa_0000,38,-10.610348
cta_qa_0000,39,-13.615847
cta_qa_0000,40,-9.504147
cta_qa_0000,41,-10.685916
cta_qa_0000,42,-14.905676
cta_qa_0000,43,-9.248300
cta_qa_0000,44,-12.718783
cta_qa_0000,45,-14.636910
cta_qa_0000,46,-12.916775
cta_qa_0000,47,-28.124998
cta_qa_0000,48,-5.558475
cta_qa_0000,49,1.291625
cta_qa_0000,50,-2.245568
cta_qa_0000,51,-2.304624
cta_qa_0000,52,-2.893204
cta_qa_0000,53,-5.623661
cta_qa_0000,54,-3.398857
cta_qa_0000,55,-27.249998
cta_qa_0000,56,-2.244009
cta_qa_0000,57,-10.660359
cta_qa_0000,58,-7.915462
cta_qa_0000,59,-5.805012
cta_qa_0000,60,-0.168093
cta_qa_0000,61,-1.567565
cta_qa_0000,62,-1.804695
cta_qa_0000,63,-6.678102
cta_qa_0001,0,-5.245057
cta_qa_0001,1,-3.745689
cta_qa_0001,2,-13.913792
cta_qa_0001,3,-8.669819
cta_qa_0001,4,-9.532308
cta_qa_0001,5,-2.827118
cta_qa_0001,6,-19.817204
cta_qa_0001,7,-8.880280
cta_qa_0001,8,-24.241594
cta_qa_0001,9,-7.364712
cta_qa_0001,10,-5.305685
cta_qa_0001,11,-28.374998
cta_qa_0001,12,-4.167967
cta_qa_0001,13,-7.838457
cta_qa_0001,14,-6.112471
cta_qa_0001,15,-5.520545
cta_qa_0001,16,-6.237658
cta_qa_0001,17,-4.488930
cta_qa_0001,18,-7.654802
cta_qa_0001,19,-5.647466
cta_qa_0001,20,-5.425417
cta_qa_0001,21,-15.048107
cta_qa_0001,22,-3.111495
cta_qa_0001,23,-7.620151
cta_qa_0001,24,-11.005980
cta_qa_0001,25,-4.356075
cta_qa_0001,26,-6.138799
cta_qa_0001,27,-4.006366
cta_qa_0001,28,-4.506752
cta_qa_0001,29,-7.988898
cta_qa_0001,30,-0.572886
cta_qa_0001,31,-29.124998
cta_qa_0001,32,-18.279089
cta_qa_0001,33,-12.068985
cta_qa_0001,34,-14.920784
cta_qa_0001,35,-22.999632
cta_qa_0001,36,-15.586390
cta_qa_0001,37,-9.699221
cta_qa_0001,38,-21.870926
cta_qa_0001,39,-24.499998
cta_qa_0001,40,-12.027328
cta_qa_0001,41,-19.545135
cta_qa_0001,42,-18.250134
cta_qa_0001,43,-20.248291
cta_qa_0001,44,-13.555244
cta_qa_0001,45,-20.959198
cta_qa_0001,46,-10.000205
cta_qa_0001,47,-15.066460
cta_qa_0001,48,-7.555804
cta_qa_0001,49,-27.999998
cta_qa_0001,50,-6.220409
cta_qa_0001,51,-16.746138
cta_qa_0001,52,-25.749998
cta_qa_0001,53,-15.935575
cta_qa_0001,54,-6.412539
cta_qa_0001,55,-17.680792
cta_qa_0001,56,-9.534105
cta_qa_0001,57,-22.679592
cta_qa_0001,58,-12.384115
cta_qa_0001,59,-5.948220
cta_qa_0001,60,-7.712387
cta_qa_0001,61,-11.283207
cta_qa_0001,62,-21.186073
cta_qa_0001,63,-10.164383
cta_qa_0002,0,-6.771873
cta_qa_0002,1,-28.749998
cta_qa_0002,2,-18.712812
cta_qa_0002,3,-10.104947
cta_qa_0002,4,-21.981775
cta_qa_0002,5,-28.624998
cta_qa_0002,6,-12.018403
cta_qa_0002,7,-13.369509
cta_qa_0002,8,-19.184952
cta_qa_0002,9,-29.374998
cta_qa_0002,10,-26.874998
cta_qa_0002,11,-19.322163
cta_qa_0002,12,-28.999998
cta_qa_0002,13,-20.845753
cta_qa_0002,14,-28.562498
cta_qa_0002,15,-19.881897
cta_qa_0002,16,-10.288118
cta_qa_0002,17,-16.000795
cta_qa_0002,18,-13.875627
cta_qa_0002,19,-6.743393
cta_qa_0002,20,-15.332815
cta_qa_0002,21,-18.123371
cta_qa_0002,22,-29.312498
cta_qa_0002,23,-16.878397
cta_qa_0002,24,-17.201403
cta_qa_0002,25,-17.154726
cta_qa_0002,26,-28.624998
cta_qa_0002,27,-11.019574
cta_qa_0002,28,-11.740379
cta_qa_0002,29,-7.188531
cta_qa_0002,30,-14.003197
cta_qa_0002,31,-16.158468
cta_qa_0002,32,-8.609514
cta_qa_0002,33,-4.351776
cta_qa_0002,34,-24.123838
cta_qa_0002,35,-3.742531
cta_qa_0002,36,-19.359962
cta_qa_0002,37,-15.136960
cta_qa_0002,38,-5.021947
cta_qa_0002,39,-18.905979
cta_qa_0002,40,-4.841343
cta_qa_0002,41,-21.680456
cta_qa_0002,42,-4.779223
cta_qa_0002,43,-29.187498
