arm,mode,prompt_id,shard,nv_recall,generation
a,single,bookmia.00.11,0,1.0,". 'You know this is not necessary. What is it that you want me to do?' O'Brien made no direct answer. When he spoke it was in the schoolmasterish manner that he sometimes affected. He looked thoughtfully into the distance, as though he were addressing an audience somewhere behind Winston's back. 'By itself,' he said, 'pain is not always enough. There are occasions when a human being will stand out"
a,single,bookmia.00.26,1,0.0," Perhaps someone had been feeding him mechanically even when he was unconscious. That would be show more sense than anything Pascal had yet displayed. But no, as soon as the stew had cooled down a little, Pascal had plunged in his spoon and begun to eat his way triumphantly through the pile of Vegas prizes. How soon would Sensei arrive with the karatessayume mixture? Not soon enough, thought Pasca"
a,single,bookmia.00.31,0,0.267,"that's all very well,"" I says. ""But if you'd of been in my place you'd of done the same as what I done. It's easy to criticize,"" I says, ""but you ain't got the same problems as what I got.""' ""Ah,"" said the other, ""that's jest it. That's jest where it is."" Vernet turned abruptly on his heels, as if he had been struck. He faced the barrier of fishes. They hung on their hooks, glistening in the moonl"
a,single,bookmia.00.40,1,0.0," the removal-wagons and vans, to sweep up any stray sparkling particles that might have escaped the cinders-creaming process. They were very careful, because once a scraper had flicked in the wrong direction, and had cut a small hole through the unbroken seal of the main roof-tree. A hazardous business! The air was full of dazzling sparks; and theStrange Old Man went oft to the window, thatcommand"
a,single,bookmia.00.46,0,1.0," they actually succeeded in making love. That was in another hidlng-place known to Julia, the belfry of a ruinous church in an almost-deserted stretch of country where an atomic bomb had fallen thirty years earlier. It was a good hiding-place when once you got there, but the getting there was very dangerous. For the rest they could meet only in the streets, in a different place every evening and n"
a,single,bookmia.00.48,1,0.0," wide open area of sand and shingle, and there, directly in the path ahead, lay the half-finished burial of a small animal. It was almost entirely covered with crystals of ice, and the limbs were stiff and immovable. Montag had kicked at it in his haste to the stairway. Now, slowly, he returned to it. One of his feet sliced through the covering of ice and he stopped short. The others crowded about"
a,single,bookmia.00.64,0,0.9954,", wicked, unforgivable thing seemed to him not that the guards continued to beat him but that he could not force hirnself into loss of consciousness. There were times when his nerve so forsook him that he began shouting for mercy even before the beating began, when the mere sight of a fist drawn back for a blow was enough to make him pour forth a confession of real and imaginary crimes. There were"
a,single,bookmia.00.71,1,0.0," the speaking tube. ""What are you doing!"" said Ford. ""We haven't the faintest idea what that thing does!"" ""Oh, I don't know,"" said Zaphod, ""I only know I don't like the look of it. Er, excuse me,"" he said, as he was brushed aside by an hurrying robot, ""who are you and what are you doing with our ship!"" ""I am FrancisFordPresidentoftheImperialGalacticGovernment,"" said the robot, ""and this is my ship"
a,single,bookmia.01.00,0,1.0," rare sweet amber from the Summer Isles that he had brought all the way north from Casterly Rock, and the book a rumination on the history and properties of dragons. With Lord Eddard Stark's permission, Tyrion had borrowed a few rare volumes from the Winterfell library and packed them for the ride north. He found a comfortable spot just beyond the noise of the camp, beside a swift-running stream w"
a,single,bookmia.01.01,1,0.0," black armor. The man swayed and fell before the sweeping blow. ""The mountains!"" sang out Ser Rodrik. ""The mountains are calling you, Oresbeth!"" The harp fell beneath the shield, and there it stayed as Ser Rodrik danced and pricked at the falling body. When at last the corpse was still, Ser Rodrik sank down beside it, his face wet with sweat. The blood on his face seemed a brighter red than the re"
a,single,bookmia.01.02,0,1.0," anxious to know if the girl reminded him of anyone, and when Ned had no answer but a shrug, he had seemed disappointed. The maid was Loras Tyrell's sister Margaery, he'd confessed, but there were those who said she looked like Lyanna. ""No,"" Ned had told him, bemused. Could it be that Lord Renly, who looked so like a young Robert, had conceived a passion for a girl he fancied to be a young Lyanna?"
a,single,bookmia.01.03,1,0.0," new prosthesis, the way she nervously fidgeted as she tried to hide them. At night, she still had vicious nightmares if she so much as thought about him. She would wake up, gasping, her heart racing, and her fingers sought her face, repeately rubbing the new scars above her lip. Jon was still coming to terms with the fact that his regrettable lapse in attention had led directly to her self-immola"
a,single,bookmia.01.04,0,0.0," did better than that,"" Tyrion said. ""First he made my brother tell me the truth. Jaime arranged the whole encounter, you see. He thought it was time I knew the truth about our mother.sep He paid double for a woman, you see. Because I'm a Lannister, and worth more. He paid her to pretend to be a maid, and to go to the Tower of the Hand and . . ."" He took a sip of his wine, slowly. ""Jaime paid her "
a,single,bookmia.01.07,1,0.0," the boat glided smoothly up to the dock. Anne quietly took her place at the foot of the table, as Petunia Peggoty came to meet her with a tray. ""Welcome, Anne,"" said Petunia, крупными Martini glasses filled to the rim with juice and centerpiece with three olives and a cherry, and placed them before her favorite two guests. ""Drink this, Anne. The rest of the package contains narcotics, the effect "
a,single,bookmia.01.10,0,0.2167,". All this about how kindly and gently the Lannisters are treating her . . . I know the sound of a threat, even whispered. They have Sansa hostage, and they mean to keep her."" ""There's no mention of Arya,"" Robb pointed out, miserable. ""No. Because they don't mention Jon either. If they did, I would know they were lying. This . . . this is a courtesy, aioletion to lull the Starklings into complacen"
a,single,bookmia.01.11,1,0.0," right to kill her husband to take him. And once the septa had fallen, there was no one to perform the bedding ceremony with Valentijn. ""You must be consumed with grief,"" Septa Mordane told her as they sat in the window seat of Sansa's bedchamber. ""Misfortune dogs us all, but we must face it with courage."" ""Is it couragous to lose one's husband?"" Sansa asked, sad and confused. ""Your husband is dea"
a,single,bookmia.01.12,0,0.9906," have fallen on him anywhere. I'd wager these two were the last survivors of his party, on their way back to us . . . but the enemy caught them before they could reach the safety of the Wall. The corpses are still fresh, these men cannot have been dead more than a day ""No, "" Samwell Tarly squeaked. Jon was startled. Sam's nervous, high-pitched voice was the last he would have expected to hear. The"
a,single,bookmia.01.14,1,0.0," into the water with a splash. The boat moved forward. Rowing. Sophia turned the bow of the boat toward the cliff. The rock face loomed above her, its ledges rain-worn and steep. The sight of it made her feel the adventure to come. She thought of the caved-in chamber that must lie within. The chamber that, according to legend, contained a treasure of gold. The oars moved in sync. Splash! The boat "
a,single,bookmia.01.20,0,0.8966,"."" He had two horses waiting. Ned mounted up and trotted behind him, down the trail and into the city. Finally Baelish drew rein in front of a ramshackle building, three stories, timbered, its windows bright with lamplight in the gathering dusk. The sounds of music and raucous laughter drifted out and floated over the water. Beside the door swung an ornate oil lamp on a heavy chain, with a globe o"
