prompt_id,rank,reward
cta_qa_0000,0,-22.999998
cta_qa_0000,1,-7.936409
cta_qa_0000,2,-9.597725
cta_qa_0000,3,-22.999998
cta_qa_0000,4,-22.999998
cta_qa_0000,5,-22.999998
cta_qa_0000,6,-23.875000
cta_qa_0000,7,-6.885171
cta_qa_0000,8,-24.749998
cta_qa_0000,9,-8.145097
cta_qa_0000,10,-6.885171
cta_qa_0000,11,-24.749998
cta_qa_0000,12,-6.885171
cta_qa_0000,13,-6.885171
cta_qa_0000,14,-22.999998
cta_qa_0000,15,-4.248188
cta_qa_0000,16,-6.034896
cta_qa_0000,17,-22.999998
cta_qa_0000,18,-3.902141
cta_qa_0000,19,-6.885171
cta_qa_0000,20,-22.999998
cta_qa_0000,21,-22.999998
cta_qa_0000,22,-20.499998
cta_qa_0000,23,-5.553792
cta_qa_0000,24,-22.999998
cta_qa_0000,25,-22.999998
cta_qa_0000,26,-0.675666
cta_qa_0000,27,-6.034896
cta_qa_0000,28,-23.749998
cta_qa_0000,29,-22.999998
cta_qa_0000,30,-6.885171
cta_qa_0000,31,-9.117758
cta_qa_0000,32,-20.499998
cta_qa_0000,33,-6.885171
cta_qa_0000,34,-22.999998
cta_qa_0000,35,-22.999998
cta_qa_0000,36,-5.894744
cta_qa_0000,37,-20.499998
cta_qa_0000,38,-3.499228
cta_qa_0000,39,-22.999998
cta_qa_0000,40,-22.999998
cta_qa_0000,41,-6.034896
cta_qa_0000,42,-9.597725
cta_qa_0000,43,-23.875000
cta_qa_0000,44,-6.034896
cta_qa_0000,45,-5.805788
cta_qa_0000,46,-9.597725
cta_qa_0000,47,1.043932
cta_qa_0000,48,-6.885171
cta_qa_0000,49,-3.804115
cta_qa_0000,50,-6.885171
cta_qa_0000,51,-3.804115
cta_qa_0000,52,-20.499998
cta_qa_0000,53,-9.597725
cta_qa_0000,54,-22.999998
cta_qa_0000,55,-22.999998
cta_qa_0000,56,-6.885171
cta_qa_0000,57,-7.267090
cta_qa_0000,58,-6.885171
cta_qa_0000,59,-6.034896
cta_qa_0000,60,-22.999998
cta_qa_0000,61,-23.875000
cta_qa_0000,62,-9.597725
cta_qa_0000,63,-6.928054
cta_qa_0001,0,-4.883035
cta_qa_0001,1,-6.223469
cta_qa_0001,2,-6.152772
cta_qa_0001,3,-8.934443
cta_qa_0001,4,0.704409
cta_qa_0001,5,-1.210485
cta_qa_0001,6,1.529652
cta_qa_0001,7,-4.067048
cta_qa_0001,8,-4.067048
cta_qa_0001,9,-4.067048
cta_qa_0001,10,-8.487026
cta_qa_0001,11,-4.067048
cta_qa_0001,12,-8.934443
cta_qa_0001,13,-25.874998
cta_qa_0001,14,-7.359683
cta_qa_0001,15,-4.067048
cta_qa_0001,16,-5.664414
cta_qa_0001,17,-21.999998
cta_qa_0001,18,-6.034698
cta_qa_0001,19,-4.485124
cta_qa_0001,20,-7.162897
cta_qa_0001,21,-6.034698
cta_qa_0001,22,-3.632789
cta_qa_0001,23,-4.485124
cta_qa_0001,24,-4.485124
cta_qa_0001,25,-0.388035
cta_qa_0001,26,-4.650389
cta_qa_0001,27,-2.917554
cta_qa_0001,28,-2.697506
cta_qa_0001,29,-4.485124
cta_qa_0001,30,-2.972049
cta_qa_0001,31,-22.874998
cta_qa_0001,32,-6.223469
cta_qa_0001,33,-4.067048
cta_qa_0001,34,-4.067048
cta_qa_0001,35,-25.687498
cta_qa_0001,36,-6.604918
cta_qa_0001,37,-6.152772
cta_qa_0001,38,-1.598075
cta_qa_0001,39,-4.067048
cta_qa_0001,40,-7.322803
cta_qa_0001,41,-8.487026
cta_qa_0001,42,-5.444443
cta_qa_0001,43,-6.152772
cta_qa_0001,44,-5.774082
cta_qa_0001,45,-8.934443
cta_qa_0001,46,-4.067048
cta_qa_0001,47,-4.883035
cta_qa_0001,48,-7.172194
cta_qa_0001,49,-8.091524
cta_qa_0001,50,-25.874998
cta_qa_0001,51,-6.808468
cta_qa_0001,52,-7.983394
cta_qa_0001,53,-9.597569
cta_qa_0001,54,-8.836136
cta_qa_0001,55,-6.152772
cta_qa_0001,56,-23.499998
cta_qa_0001,57,-6.152772
cta_qa_0001,58,-13.367819
cta_qa_0001,59,-8.934443
cta_qa_0001,60,-7.172194
cta_qa_0001,61,-4.367672
cta_qa_0001,62,-6.208972
cta_qa_0001,63,-6.152772
cta_qa_0002,0,-8.849536
cta_qa_0002,1,-6.566256
cta_qa_0002,2,-8.420712
cta_qa_0002,3,-24.499998
cta_qa_0002,4,-24.249998
cta_qa_0002,5,-24.062498
cta_qa_0002,6,-23.749998
cta_qa_0002,7,-8.187882
cta_qa_0002,8,-8.434730
cta_qa_0002,9,-24.374998
cta_qa_0002,10,-4.870001
cta_qa_0002,11,-26.749998
cta_qa_0002,12,-5.580228
cta_qa_0002,13,-26.624998
cta_qa_0002,14,-4.870001
cta_qa_0002,15,-23.499998
cta_qa_0002,16,-5.191054
cta_qa_0002,17,-7.980320
cta_qa_0002,18,-10.492837
cta_qa_0002,19,-4.189552
cta_qa_0002,20,1.104321
cta_qa_0002,21,-4.189552
cta_qa_0002,22,-2.849667
cta_qa_0002,23,-14.020299
cta_qa_0002,24,-4.943207
cta_qa_0002,25,-7.432314
cta_qa_0002,26,-5.877786
cta_qa_0002,27,-9.029943
cta_qa_0002,28,-7.061922
cta_qa_0002,29,-7.253896
cta_qa_0002,30,-26.437498
cta_qa_0002,31,-6.897077
cta_qa_0002,32,-25.499998
cta_qa_0002,33,-24.062498
cta_qa_0002,34,-4.870001
cta_qa_0002,35,-24.999998
cta_qa_0002,36,-23.624998
cta_qa_0002,37,-4.870001
cta_qa_0002,38,-26.374998
cta_qa_0002,39,-25.312498
cta_qa_0002,40,-4.870001
cta_qa_0002,41,-5.837766
cta_qa_0002,42,-3.184392
cta_qa_0002,43,-7.518783
cta_qa_0002,44,-6.514801
cta_qa_0002,45,-23.499998
cta_qa_0002,46,-20.624998
cta_qa_0002,47,-24.187498
cta_qa_0002,48,-7.480672
cta_qa_0002,49,-4.189552
cta_qa_0002,50,-4.189552
cta_qa_0002,51,-24.187498
cta_qa_0002,52,-8.020839
cta_qa_0002,53,-25.187498
cta_qa_0002,54,-6.849378
cta_qa_0002,55,-6.365236
cta_qa_0002,56,-4.856359
cta_qa_0002,57,-8.317347
cta_qa_0002,58,-11.124937
cta_qa_0002,59,-5.995631
cta_qa_0002,60,-25.124998
cta_qa_0002,61,-8.822155
cta_qa_0002,62,-12.843863
cta_qa_0002,63,-0.995440
cta_qa_0003,0,0.020322
cta_qa_0003,1,-4.292181
cta_qa_0003,2,0.982151
cta_qa_0003,3,5.125160
cta_qa_0003,4,-4.244078
cta_qa_0003,5,0.507605
cta_qa_0003,6,-0.959439
cta_qa_0003,7,-0.286925
cta_qa_0003,8,0.414864
cta_qa_0003,9,0.002650
cta_qa_0003,10,-6.807567
cta_qa_0003,11,-5.749999
