prompt_id,rank,reward
fact_00003_Fernando da Costa Novaes,0,-22.3125
fact_00003_Fernando da Costa Novaes,1,-18.4375
fact_00003_Fernando da Costa Novaes,2,-21.75
fact_00003_Fernando da Costa Novaes,3,-23.75
fact_00003_Fernando da Costa Novaes,4,-28.0
fact_00003_Fernando da Costa Novaes,5,-23.4375
fact_00003_Fernando da Costa Novaes,6,-26.625
fact_00003_Fernando da Costa Novaes,7,-22.5
fact_00003_Fernando da Costa Novaes,8,-23.875
fact_00003_Fernando da Costa Novaes,9,-26.0
fact_00003_Fernando da Costa Novaes,10,-22.125
fact_00003_Fernando da Costa Novaes,11,-26.25
fact_00003_Fernando da Costa Novaes,12,-26.0625
fact_00003_Fernando da Costa Novaes,13,-16.5
fact_00003_Fernando da Costa Novaes,14,-19.625
fact_00003_Fernando da Costa Novaes,15,-24.8125
fact_00003_Fernando da Costa Novaes,16,-25.5625
fact_00003_Fernando da Costa Novaes,17,-24.5
fact_00003_Fernando da Costa Novaes,18,-22.5
fact_00003_Fernando da Costa Novaes,19,-25.6875
fact_00003_Fernando da Costa Novaes,20,-23.5625
fact_00003_Fernando da Costa Novaes,21,-25.9375
fact_00003_Fernando da Costa Novaes,22,-25.375
fact_00003_Fernando da Costa Novaes,23,-26.4375
fact_00003_Fernando da Costa Novaes,24,-26.125
fact_00003_Fernando da Costa Novaes,25,-24.0
fact_00003_Fernando da Costa Novaes,26,-23.9375
fact_00003_Fernando da Costa Novaes,27,-26.375
fact_00003_Fernando da Costa Novaes,28,-26.6875
fact_00003_Fernando da Costa Novaes,29,-25.3125
fact_00003_Fernando da Costa Novaes,30,-15.125
fact_00003_Fernando da Costa Novaes,31,-18.25
fact_00003_Fernando da Costa Novaes,32,-20.5
fact_00003_Fernando da Costa Novaes,33,-22.9375
fact_00003_Fernando da Costa Novaes,34,-27.875
fact_00003_Fernando da Costa Novaes,35,-19.25
fact_00003_Fernando da Costa Novaes,36,-27.4375
fact_00003_Fernando da Costa Novaes,37,-17.5
fact_00003_Fernando da Costa Novaes,38,-28.875
fact_00003_Fernando da Costa Novaes,39,-26.4375
fact_00003_Fernando da Costa Novaes,40,-16.625
fact_00003_Fernando da Costa Novaes,41,-24.1875
fact_00003_Fernando da Costa Novaes,42,-27.5
fact_00003_Fernando da Costa Novaes,43,-18.25
fact_00003_Fernando da Costa Novaes,44,-26.5625
fact_00003_Fernando da Costa Novaes,45,-19.625
fact_00003_Fernando da Costa Novaes,46,-25.125
fact_00003_Fernando da Costa Novaes,47,-24.5625
fact_00003_Fernando da Costa Novaes,48,-16.87499
fact_00003_Fernando da Costa Novaes,49,-26.625
fact_00003_Fernando da Costa Novaes,50,-22.6875
fact_00003_Fernando da Costa Novaes,51,-27.625
fact_00003_Fernando da Costa Novaes,52,-26.5625
fact_00003_Fernando da Costa Novaes,53,-25.375
fact_00003_Fernando da Costa Novaes,54,-24.1875
fact_00003_Fernando da Costa Novaes,55,-23.375
fact_00003_Fernando da Costa Novaes,56,-24.75
fact_00003_Fernando da Costa Novaes,57,-20.375
fact_00003_Fernando da Costa Novaes,58,-25.0625
fact_00003_Fernando da Costa Novaes,59,-18.75
fact_00003_Fernando da Costa Novaes,60,-25.1875
fact_00003_Fernando da Costa Novaes,61,-25.875
fact_00003_Fernando da Costa Novaes,62,-26.25
fact_00003_Fernando da Costa Novaes,63,-13.375
fact_00006_David Galloway (writer),0,-19.875
fact_00006_David Galloway (writer),1,-24.75
fact_00006_David Galloway (writer),2,-20.5
fact_00006_David Galloway (writer),3,-19.5
fact_00006_David Galloway (writer),4,-25.375
fact_00006_David Galloway (writer),5,-16.375
fact_00006_David Galloway (writer),6,-20.5
fact_00006_David Galloway (writer),7,-27.0625
fact_00006_David Galloway (writer),8,-26.4375
fact_00006_David Galloway (writer),9,-20.5
fact_00006_David Galloway (writer),10,-21.5
fact_00006_David Galloway (writer),11,-25.25
fact_00006_David Galloway (writer),12,-26.625
fact_00006_David Galloway (writer),13,-24.875
fact_00006_David Galloway (writer),14,-21.0
fact_00006_David Galloway (writer),15,-25.75
fact_00006_David Galloway (writer),16,-17.0
fact_00006_David Galloway (writer),17,-21.75
fact_00006_David Galloway (writer),18,-19.0
fact_00006_David Galloway (writer),19,-16.75
fact_00006_David Galloway (writer),20,-20.5
fact_00006_David Galloway (writer),21,-23.6875
fact_00006_David Galloway (writer),22,-23.8125
fact_00006_David Galloway (writer),23,-13.625
fact_00006_David Galloway (writer),24,-26.1875
fact_00006_David Galloway (writer),25,-12.75
fact_00006_David Galloway (writer),26,-27.375
fact_00006_David Galloway (writer),27,-12.99999
fact_00006_David Galloway (writer),28,-22.125
fact_00006_David Galloway (writer),29,-23.375
fact_00006_David Galloway (writer),30,-21.125
fact_00006_David Galloway (writer),31,-22.5625
fact_00006_David Galloway (writer),32,-15.625
fact_00006_David Galloway (writer),33,-26.25
fact_00006_David Galloway (writer),34,-27.25
fact_00006_David Galloway (writer),35,-13.875
fact_00006_David Galloway (writer),36,-25.625
fact_00006_David Galloway (writer),37,-24.5625
fact_00006_David Galloway (writer),38,-23.625
fact_00006_David Galloway (writer),39,-23.6875
fact_00006_David Galloway (writer),40,-25.625
fact_00006_David Galloway (writer),41,-26.1875
fact_00006_David Galloway (writer),42,-25.9375
fact_00006_David Galloway (writer),43,-25.25
fact_00006_David Galloway (writer),44,-25.0
fact_00006_David Galloway (writer),45,-26.5
fact_00006_David Galloway (writer),46,-9.12499
fact_00006_David Galloway (writer),47,-22.5
fact_00006_David Galloway (writer),48,-18.125
fact_00006_David Galloway (writer),49,-25.5625
fact_00006_David Galloway (writer),50,-23.125
fact_00006_David Galloway (writer),51,-25.3125
fact_00006_David Galloway (writer),52,-22.75
fact_00006_David Galloway (writer),53,-24.6875
fact_00006_David Galloway (writer),54,-18.125
fact_00006_David Galloway (writer),55,-22.5
fact_00006_David Galloway (writer),56,-5.99999
fact_00006_David Galloway (writer),57,-3.25
fact_00006_David Galloway (writer),58,-23.625
fact_00006_David Galloway (writer),59,-24.6875
fact_00006_David Galloway (writer),60,-25.8125
fact_00006_David Galloway (writer),61,-22.875
fact_00006_David Galloway (writer),62,-22.3125
fact_00006_David Galloway (writer),63,-24.25
fact_00007_Cheyenne Brando,0,-21.0
fact_00007_Cheyenne Brando,1,-3.12499
fact_00007_Cheyenne Brando,2,-24.125
fact_00007_Cheyenne Brando,3,-19.625
fact_00007_Cheyenne Brando,4,-22.75
fact_00007_Cheyenne Brando,5,-22.1875
fact_00007_Cheyenne Brando,6,-25.9375
fact_00007_Cheyenne Brando,7,-23.6875
fact_00007_Cheyenne Brando,8,-26.4375
