prompt_id,rank,reward
cta_qa_0000,0,-19.499998
cta_qa_0000,1,-19.499998
cta_qa_0000,2,-3.374717
cta_qa_0000,3,-19.499998
cta_qa_0000,4,-3.374717
cta_qa_0000,5,-19.499998
cta_qa_0000,6,-19.499998
cta_qa_0000,7,-19.499998
cta_qa_0000,8,-18.874998
cta_qa_0000,9,-19.499998
cta_qa_0000,10,-3.374717
cta_qa_0000,11,-19.499998
cta_qa_0000,12,-3.374717
cta_qa_0000,13,-3.374717
cta_qa_0000,14,-19.499998
cta_qa_0000,15,-19.499998
cta_qa_0000,16,-19.999998
cta_qa_0000,17,-19.999998
cta_qa_0000,18,-19.999998
cta_qa_0000,19,-19.999998
cta_qa_0000,20,-19.999998
cta_qa_0000,21,-19.999998
cta_qa_0000,22,-19.999998
cta_qa_0000,23,-19.999998
cta_qa_0000,24,-19.999998
cta_qa_0000,25,-19.999998
cta_qa_0000,26,-19.999998
cta_qa_0000,27,-19.999998
cta_qa_0000,28,-19.999998
cta_qa_0000,29,-19.999998
cta_qa_0000,30,-19.999998
cta_qa_0000,31,-19.999998
cta_qa_0000,32,-19.499998
cta_qa_0000,33,-19.499998
cta_qa_0000,34,-3.374717
cta_qa_0000,35,-19.499998
cta_qa_0000,36,-19.499998
cta_qa_0000,37,-12.437468
cta_qa_0000,38,-15.625000
cta_qa_0000,39,-19.499998
cta_qa_0000,40,-19.499998
cta_qa_0000,41,-24.624998
cta_qa_0000,42,-19.499998
cta_qa_0000,43,-3.374717
cta_qa_0000,44,-19.499998
cta_qa_0000,45,-19.499998
cta_qa_0000,46,-3.374717
cta_qa_0000,47,-19.499998
cta_qa_0000,48,-12.437468
cta_qa_0000,49,-12.437468
cta_qa_0000,50,-3.374717
cta_qa_0000,51,-3.374717
cta_qa_0000,52,-19.499998
cta_qa_0000,53,-3.374717
cta_qa_0000,54,-19.499998
cta_qa_0000,55,-19.499998
cta_qa_0000,56,-19.499998
cta_qa_0000,57,-19.499998
cta_qa_0000,58,-19.499998
cta_qa_0000,59,-19.499998
cta_qa_0000,60,-19.499998
cta_qa_0000,61,-12.437468
cta_qa_0000,62,-24.624998
cta_qa_0000,63,-19.499998
cta_qa_0001,0,-9.057801
cta_qa_0001,1,-27.187498
cta_qa_0001,2,-27.187498
cta_qa_0001,3,-0.037457
cta_qa_0001,4,-27.187498
cta_qa_0001,5,-27.187498
cta_qa_0001,6,-9.057801
cta_qa_0001,7,-0.037457
cta_qa_0001,8,-0.037457
cta_qa_0001,9,-27.187498
cta_qa_0001,10,-0.037457
cta_qa_0001,11,-27.187498
cta_qa_0001,12,-0.037457
cta_qa_0001,13,-27.187498
cta_qa_0001,14,-27.187498
cta_qa_0001,15,-0.037457
cta_qa_0001,16,-27.187498
cta_qa_0001,17,-27.187498
cta_qa_0001,18,-27.187498
cta_qa_0001,19,-27.187498
cta_qa_0001,20,-17.309595
cta_qa_0001,21,-27.187498
cta_qa_0001,22,-0.037457
cta_qa_0001,23,-0.037457
cta_qa_0001,24,-27.187498
cta_qa_0001,25,-27.187498
cta_qa_0001,26,-27.187498
cta_qa_0001,27,-27.187498
cta_qa_0001,28,-27.187498
cta_qa_0001,29,-27.187498
cta_qa_0001,30,-17.309595
cta_qa_0001,31,-27.187498
cta_qa_0001,32,-27.187498
cta_qa_0001,33,-27.187498
cta_qa_0001,34,-9.320895
cta_qa_0001,35,-0.037457
cta_qa_0001,36,-27.187498
cta_qa_0001,37,-27.187498
cta_qa_0001,38,-27.187498
cta_qa_0001,39,-17.309595
cta_qa_0001,40,-16.498287
cta_qa_0001,41,-0.037457
cta_qa_0001,42,-27.187498
cta_qa_0001,43,-27.187498
cta_qa_0001,44,-27.187498
cta_qa_0001,45,-27.187498
cta_qa_0001,46,-17.309595
cta_qa_0001,47,-17.309595
cta_qa_0001,48,-17.309595
cta_qa_0001,49,-17.309595
cta_qa_0001,50,-27.187498
cta_qa_0001,51,-0.037457
cta_qa_0001,52,-27.187498
cta_qa_0001,53,-27.187498
cta_qa_0001,54,-17.309595
cta_qa_0001,55,-27.187498
cta_qa_0001,56,-27.187498
cta_qa_0001,57,-27.187498
cta_qa_0001,58,-17.309595
cta_qa_0001,59,-16.997135
cta_qa_0001,60,-27.187498
cta_qa_0001,61,-17.309595
cta_qa_0001,62,-0.037457
cta_qa_0001,63,-27.187498
cta_qa_0002,0,-10.875040
cta_qa_0002,1,-3.110859
cta_qa_0002,2,-15.187513
cta_qa_0002,3,-27.374998
cta_qa_0002,4,-27.062498
cta_qa_0002,5,-3.110859
cta_qa_0002,6,-15.187513
cta_qa_0002,7,-15.187513
cta_qa_0002,8,-27.062498
cta_qa_0002,9,-3.110859
cta_qa_0002,10,-27.187498
cta_qa_0002,11,-27.062498
cta_qa_0002,12,-0.020027
cta_qa_0002,13,-15.187513
cta_qa_0002,14,-27.374998
cta_qa_0002,15,-27.374998
