prompt_id,rank,prompt_class,n_words,reward
1nzes2,0,creative,68,-19.125
1nzes2,1,creative,35,-25.0
1nzes2,2,creative,84,-20.5
1nzes2,3,creative,9,-25.625
1nzes2,4,creative,94,-18.375
1nzes2,5,creative,13,-25.375
1nzes2,6,creative,41,-24.375
1nzes2,7,creative,9,-25.625
1nzes2,8,creative,41,-27.5
1nzes2,9,creative,163,-28.375
1nzes2,10,creative,45,-22.625
1nzes2,11,creative,9,-26.0
1nzes2,12,creative,172,-25.9375
1nzes2,13,creative,13,-25.25
1nzes2,14,creative,39,-21.875
1nzes2,15,creative,9,-26.0
1nzes2,16,creative,9,-25.6875
1nzes2,17,creative,116,-25.5625
1nzes2,18,creative,27,-29.125
1nzes2,19,creative,160,-23.625
1nzes2,20,creative,81,-25.25
1nzes2,21,creative,173,-25.5625
1nzes2,22,creative,9,-25.6875
1nzes2,23,creative,16,-22.625
1nzes2,24,creative,39,-19.125
1nzes2,25,creative,96,-25.5625
1nzes2,26,creative,9,-25.9375
1nzes2,27,creative,9,-25.9375
1nzes2,28,creative,20,-24.625
1nzes2,29,creative,95,-25.625
1nzes2,30,creative,9,-25.9375
1nzes2,31,creative,9,-25.9375
1nzes2,32,creative,172,-24.3125
1nzes2,33,creative,178,-25.6875
1nzes2,34,creative,9,-26.0
1nzes2,35,creative,9,-26.0
1nzes2,36,creative,72,-18.5
1nzes2,37,creative,157,-16.875
1nzes2,38,creative,77,-28.0
1nzes2,39,creative,30,-16.375
1nzes2,40,creative,58,-25.75
1nzes2,41,creative,46,-15.0
1nzes2,42,creative,9,-25.6875
1nzes2,43,creative,9,-25.6875
1nzes2,44,creative,42,-24.875
1nzes2,45,creative,168,-25.0
1nzes2,46,creative,9,-25.6875
1nzes2,47,creative,183,-26.3125
1nzes2,48,creative,114,-17.125
1nzes2,49,creative,35,-25.8125
1nzes2,50,creative,48,-23.25
1nzes2,51,creative,111,-24.5
1nzes2,52,creative,73,-18.0
1nzes2,53,creative,29,-22.0
1nzes2,54,creative,54,-27.8125
1nzes2,55,creative,175,-23.125
1nzes2,56,creative,77,-9.875
1nzes2,57,creative,20,-25.625
1nzes2,58,creative,35,-22.75
1nzes2,59,creative,161,-25.3125
1nzes2,60,creative,184,-14.875
1nzes2,61,creative,137,-23.0
1nzes2,62,creative,73,-24.125
1nzes2,63,creative,61,-25.3125
2786lw,0,creative,13,-22.125
2786lw,1,creative,114,-28.75
2786lw,2,creative,34,-12.75
2786lw,3,creative,166,-25.125
2786lw,4,creative,8,-4.25
2786lw,5,creative,52,-16.875
2786lw,6,creative,56,-20.625
2786lw,7,creative,109,-25.5
2786lw,8,creative,171,-16.25
2786lw,9,creative,124,-19.75
2786lw,10,creative,163,2.75
2786lw,11,creative,75,-26.25
2786lw,12,creative,31,-26.75
2786lw,13,creative,169,-28.125
2786lw,14,creative,144,-25.6875
