judge,prompt_id,u_n1,u_n2,u_n4,u_n8
Phi-3.5-mini-instruct,mtbench_100,0.0,0.0,0.0,1.0
Phi-3.5-mini-instruct,mtbench_101,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_102,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,mtbench_103,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,mtbench_104,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_105,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_106,0.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,mtbench_107,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_108,0.5,0.0,0.0,0.5
Phi-3.5-mini-instruct,mtbench_109,1.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_110,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_111,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_112,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_113,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_114,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,mtbench_115,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,mtbench_116,0.5,1.0,0.5,0.5
Phi-3.5-mini-instruct,mtbench_117,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,mtbench_118,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_119,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_120,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_121,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_122,0.5,0.0,0.0,0.5
Phi-3.5-mini-instruct,mtbench_123,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_124,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_125,0.0,0.5,0.0,0.5
Phi-3.5-mini-instruct,mtbench_126,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_127,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_128,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_129,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,mtbench_130,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_131,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_132,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_133,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_134,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_135,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_136,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_137,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_138,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_139,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_140,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_141,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_142,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,mtbench_143,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_144,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,mtbench_145,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,mtbench_146,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_147,0.0,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_148,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_149,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,mtbench_150,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_151,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,mtbench_152,0.0,0.0,0.0,0.5
Phi-3.5-mini-instruct,mtbench_153,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_154,0.5,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_155,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,mtbench_156,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_157,0.0,0.0,1.0,0.0
Phi-3.5-mini-instruct,mtbench_158,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_159,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_160,0.0,0.0,0.5,1.0
Phi-3.5-mini-instruct,mtbench_81,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_82,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_83,0.5,0.5,0.5,0.0
Phi-3.5-mini-instruct,mtbench_84,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_85,1.0,1.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_86,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,mtbench_87,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,mtbench_88,0.5,0.5,0.0,0.5
Phi-3.5-mini-instruct,mtbench_89,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_90,1.0,1.0,1.0,1.0
Phi-3.5-mini-instruct,mtbench_91,0.0,0.0,1.0,1.0
Phi-3.5-mini-instruct,mtbench_92,1.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,mtbench_93,0.0,1.0,1.0,0.0
Phi-3.5-mini-instruct,mtbench_94,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_95,0.5,0.5,0.5,0.5
Phi-3.5-mini-instruct,mtbench_96,0.5,0.5,0.5,1.0
Phi-3.5-mini-instruct,mtbench_97,0.0,0.0,0.5,0.5
Phi-3.5-mini-instruct,mtbench_98,0.0,0.0,0.0,0.0
Phi-3.5-mini-instruct,mtbench_99,0.5,0.5,0.5,0.5
Meta-Llama-3.1-8B-Instruct,mtbench_100,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_101,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_102,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B-Instruct,mtbench_103,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_104,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_105,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B-Instruct,mtbench_106,0.0,1.0,1.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_107,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_108,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_109,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B-Instruct,mtbench_110,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_111,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_112,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_113,0.0,0.0,0.0,1.0
Meta-Llama-3.1-8B-Instruct,mtbench_114,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_115,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_116,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_117,0.0,1.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_118,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_119,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_120,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_121,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_122,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_123,1.0,1.0,1.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_124,0.5,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_125,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_126,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_127,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_128,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B-Instruct,mtbench_129,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_130,0.0,0.0,0.0,1.0
Meta-Llama-3.1-8B-Instruct,mtbench_131,0.0,0.0,0.0,0.5
Meta-Llama-3.1-8B-Instruct,mtbench_132,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_133,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_134,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B-Instruct,mtbench_135,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B-Instruct,mtbench_136,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_137,1.0,1.0,1.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_138,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B-Instruct,mtbench_139,1.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_140,1.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_141,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_142,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_143,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_144,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B-Instruct,mtbench_145,0.0,0.0,0.0,1.0
Meta-Llama-3.1-8B-Instruct,mtbench_146,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_147,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_148,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_149,1.0,1.0,1.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_150,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B-Instruct,mtbench_151,0.0,0.0,0.0,1.0
Meta-Llama-3.1-8B-Instruct,mtbench_152,1.0,1.0,1.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_153,1.0,1.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_154,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_155,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_156,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_157,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_158,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_159,0.0,0.0,0.0,1.0
Meta-Llama-3.1-8B-Instruct,mtbench_160,1.0,0.0,1.0,1.0
Meta-Llama-3.1-8B-Instruct,mtbench_81,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_82,0.0,1.0,1.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_83,0.0,0.0,1.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_84,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_85,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_86,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_87,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_88,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_89,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_90,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_91,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_92,1.0,1.0,1.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_93,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_94,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_95,1.0,1.0,1.0,1.0
Meta-Llama-3.1-8B-Instruct,mtbench_96,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_97,0.0,0.0,0.0,0.0
Meta-Llama-3.1-8B-Instruct,mtbench_98,0.0,0.0,0.0,0.0
