prompt_id,rank,prompt_class,n_words,reward
mtbench_100,0,factual,302,-27.9375
mtbench_100,1,factual,39,-28.375
mtbench_100,2,factual,350,-23.375
mtbench_100,3,factual,190,-29.8125
mtbench_100,4,factual,306,-27.1875
mtbench_100,5,factual,324,-27.0
mtbench_100,6,factual,359,-21.875
mtbench_100,7,factual,323,-27.9375
mtbench_101,0,factual,152,-15.625
mtbench_101,1,factual,361,-26.375
mtbench_101,2,factual,82,-22.875
mtbench_101,3,factual,18,-19.875
mtbench_101,4,factual,346,-28.4375
mtbench_101,5,factual,350,-22.25
mtbench_101,6,factual,376,-27.5
mtbench_101,7,factual,319,-22.6875
mtbench_102,0,factual,182,-24.875
mtbench_102,1,factual,313,-27.875
mtbench_102,2,factual,319,-26.75
mtbench_102,3,factual,316,-28.5
mtbench_102,4,factual,194,-25.8125
mtbench_102,5,factual,21,-25.5
mtbench_102,6,factual,336,-27.6875
mtbench_102,7,factual,338,-26.75
mtbench_103,0,factual,219,-2.75
mtbench_103,1,factual,183,-14.0
mtbench_103,2,factual,31,-26.3125
mtbench_103,3,factual,35,-13.25
mtbench_103,4,factual,258,-19.75
mtbench_103,5,factual,210,-0.75
mtbench_103,6,factual,319,-14.125
mtbench_103,7,factual,36,-14.625
mtbench_104,0,factual,48,-26.6875
mtbench_104,1,factual,41,-28.1875
mtbench_104,2,factual,9,-10.25
mtbench_104,3,factual,33,-17.75
mtbench_104,4,factual,42,-25.25
mtbench_104,5,factual,46,-25.5
mtbench_104,6,factual,56,-27.125
mtbench_104,7,factual,58,-26.0625
mtbench_105,0,factual,11,-6.75
mtbench_105,1,factual,13,-26.5
mtbench_105,2,factual,11,-6.75
mtbench_105,3,factual,11,-6.75
mtbench_105,4,factual,11,-6.75
mtbench_105,5,factual,11,-6.75
mtbench_105,6,factual,11,-6.75
mtbench_105,7,factual,11,-6.75
mtbench_106,0,factual,19,-15.625
mtbench_106,1,factual,44,-15.0
mtbench_106,2,factual,282,-27.875
mtbench_106,3,factual,158,-27.875
mtbench_106,4,factual,30,-13.75
mtbench_106,5,factual,19,-1.25
mtbench_106,6,factual,84,-7.75
mtbench_106,7,factual,25,-3.0
mtbench_107,0,factual,81,-27.875
mtbench_107,1,factual,6,-9.375
mtbench_107,2,factual,90,-26.125
mtbench_107,3,factual,75,-22.125
mtbench_107,4,factual,8,-26.8125
mtbench_107,5,factual,6,-9.375
mtbench_107,6,factual,40,-27.4375
mtbench_107,7,factual,119,-19.25
mtbench_108,0,factual,38,-21.125
mtbench_108,1,factual,7,-12.75
mtbench_108,2,factual,8,-22.375
mtbench_108,3,factual,112,-23.625
mtbench_108,4,factual,11,-15.75
mtbench_108,5,factual,247,-21.5
mtbench_108,6,factual,9,-10.0
mtbench_108,7,factual,9,-18.75
mtbench_109,0,factual,45,-22.0
mtbench_109,1,factual,7,-5.25
mtbench_109,2,factual,239,-21.5
mtbench_109,3,factual,124,-27.8125
mtbench_109,4,factual,134,-25.375
mtbench_109,5,factual,7,-5.25
mtbench_109,6,factual,169,-20.625
mtbench_109,7,factual,319,-26.3125
mtbench_110,0,factual,20,-9.75
mtbench_110,1,factual,145,-24.0
mtbench_110,2,factual,20,-9.75
mtbench_110,3,factual,20,-9.75
mtbench_110,4,factual,335,-25.5625
mtbench_110,5,factual,20,-9.75
mtbench_110,6,factual,20,-9.75
mtbench_110,7,factual,20,-9.75
mtbench_111,0,factual,14,1.75
mtbench_111,1,factual,361,-28.4375
mtbench_111,2,factual,256,-29.5
mtbench_111,3,factual,14,1.75
mtbench_111,4,factual,14,1.75
mtbench_111,5,factual,14,1.75
mtbench_111,6,factual,44,-22.625
mtbench_111,7,factual,215,-19.0
mtbench_112,0,factual,13,-5.0
mtbench_112,1,factual,13,-5.0
mtbench_112,2,factual,76,-19.875
mtbench_112,3,factual,130,-18.75
mtbench_112,4,factual,13,-5.0
mtbench_112,5,factual,307,-23.75
mtbench_112,6,factual,13,-5.0
mtbench_112,7,factual,13,-5.0
mtbench_113,0,factual,264,-28.5
mtbench_113,1,factual,114,-28.5
mtbench_113,2,factual,106,-28.875
mtbench_113,3,factual,113,-25.5
mtbench_113,4,factual,21,-8.875
mtbench_113,5,factual,275,-28.375
mtbench_113,6,factual,61,-24.0
mtbench_113,7,factual,104,-27.3125
mtbench_114,0,factual,18,-24.25
mtbench_114,1,factual,91,-29.375
mtbench_114,2,factual,149,-27.6875
mtbench_114,3,factual,112,-28.5
mtbench_114,4,factual,110,-28.1875
mtbench_114,5,factual,171,-28.0
mtbench_114,6,factual,160,-28.625
mtbench_114,7,factual,207,-25.25
mtbench_115,0,factual,99,-25.5
mtbench_115,1,factual,324,-23.625
mtbench_115,2,factual,106,-26.875
mtbench_115,3,factual,102,-27.1875
mtbench_115,4,factual,113,-25.625
mtbench_115,5,factual,14,-21.5
mtbench_115,6,factual,99,-25.6875
mtbench_115,7,factual,170,-27.3125
mtbench_116,0,factual,226,-27.875
mtbench_116,1,factual,255,-27.6875
mtbench_116,2,factual,57,-26.6875
mtbench_116,3,factual,63,-25.8125
mtbench_116,4,factual,247,-27.6875
mtbench_116,5,factual,166,-27.5625
mtbench_116,6,factual,133,-28.1875
mtbench_116,7,factual,156,-28.0625
mtbench_117,0,factual,82,-28.0
mtbench_117,1,factual,48,-27.5625
mtbench_117,2,factual,31,-27.5
mtbench_117,3,factual,299,-28.25
mtbench_117,4,factual,74,-26.5
mtbench_117,5,factual,45,-29.25
mtbench_117,6,factual,20,-26.125
mtbench_117,7,factual,264,-28.4375
mtbench_118,0,factual,53,-28.6875
mtbench_118,1,factual,1,-22.625
mtbench_118,2,factual,25,-27.5625
mtbench_118,3,factual,1,-22.625
mtbench_118,4,factual,35,-29.3125
mtbench_118,5,factual,37,-26.375
mtbench_118,6,factual,216,-29.8125
mtbench_118,7,factual,1,-22.625
mtbench_119,0,factual,20,0.75
mtbench_119,1,factual,70,-16.5
mtbench_119,2,factual,20,0.75
mtbench_119,3,factual,28,-16.75
mtbench_119,4,factual,102,-12.375
mtbench_119,5,factual,20,0.75
mtbench_119,6,factual,20,0.75
mtbench_119,7,factual,20,0.75
mtbench_120,0,factual,1,-16.75
mtbench_120,1,factual,160,-25.625
mtbench_120,2,factual,144,-24.0
mtbench_120,3,factual,133,-13.5
mtbench_120,4,factual,85,-26.5
mtbench_120,5,factual,52,-23.0
mtbench_120,6,factual,80,-27.9375
mtbench_120,7,factual,1,-16.75
mtbench_121,0,factual,259,-27.375
mtbench_121,1,factual,142,-29.0
mtbench_121,2,factual,20,-26.375
mtbench_121,3,factual,190,-28.375
mtbench_121,4,factual,264,-28.9375
mtbench_121,5,factual,245,-27.5
mtbench_121,6,factual,77,-30.5625
mtbench_121,7,factual,291,-28.375
mtbench_122,0,factual,216,-27.9375
mtbench_122,1,factual,284,-27.6875
mtbench_122,2,factual,111,-28.0
mtbench_122,3,factual,65,-26.5625
mtbench_122,4,factual,153,-25.8125
mtbench_122,5,factual,119,-26.75
mtbench_122,6,factual,252,-28.4375
