prompt_id,rank
1nzes2,4
2786lw,4
2ov45h,4
49u4dh,3
4iorz7,6
4xzr87,6
53rqr9,4
5apkek,4
5e6rcz,1
5ec7q2,1
5f5p86,4
5fqwjc,4
5g58dz,2
5gq4jc,0
5j7ypk,4
5je6l4,4
5nc21f,5
5nzsq6,4
5ozqb9,3
5qf97d,5
5qwzjo,0
5r104c,5
5te65i,2
5umucz,5
5w4x14,1
609k0n,5
625es0,3
63dn97,2
63ku7q,0
64c0w6,1
65458n,1
66uo64,5
68f5c5,1
68ykga,1
69dzba,3
6d1iqq,4
6eytds,3
6gl289,6
6hoxmq,1
6imc4i,0
6isay3,5
6ixx9u,5
6k8gdu,0
6l6v6l,2
6m7z8a,4
6mztko,1
6o18uh,0
6o679d,3
6ohgxv,5
6szrbs,4
6tsiyd,2
6wgtsx,1
6wxzhc,0
6xisxt,0
6xngfe,1
6xsruw,3
71p51h,3
72l2aj,5
74ih3z,3
765fhd,6
76b9gc,4
77dd17,6
796161,2
7adktz,0
7bowjq,5
7d0x9k,5
7dcwik,2
7e3im5,3
7en7vl,2
7ezd5t,6
7gjj2w,4
7h9f8e,1
7iltd1,2
7iubwq,3
7jfvx7,1
7jqj29,5
7l7e1m,0
7ld0jk,2
7lzk5g,3
7q0acw,5
7rb6uj,0
7rie85,3
7rpy8m,1
7svmp5,4
7tge90,1
7u04a5,0
7uezw8,4
7v8ind,6
80sf6g,3
83mehz,0
849wc3,4
87ak6w,6
87tx3g,1
8a18sf,6
8aec6t,1
8fk0hr,0
8gfhh9,6
8gs4wp,0
8k4am7,6
8myeno,4
8o89ko,4
8p3ora,6
8pr271,2
8tmkfc,3
8vr4k2,4
8vyqdq,5
8x0xa7,3
8x86s0,3
8y8wrr,2
8z1sq1,2
9470fc,1
96myl6,0
96xnw9,3
99kk88,6
9edjv0,1
9f7www,6
9g2cbq,0
9ki47u,1
9l0dam,3
9neuk8,5
9qn4tw,2
a318ye,0
a3pdwk,3
acjzv0,0
afc9c4,0
aowr4t,5
ar7nm2,4
auig0m,3
b4yx63,3
b87jl7,1
b9uzz1,2
bhyplf,4
bk7lic,5
ciifmd,2
ck6twx,4
cpxk2b,6
dqn4sj,4
eu7ub2,2
fact_00003_Fernando da Costa Novaes,0
fact_00006_David Galloway (writer),5
fact_00007_Cheyenne Brando,1
fact_00012_Braulio Lara,1
fact_00015_Amr Shabana,2
fact_00017_Abdulqawi Yusuf,0
fact_00025_Carlos P. Romulo,4
fact_00027_Arthur Ewert,3
fact_00032_Flavio Méndez Santiago,3
fact_00039_Chris Duffield,6
fact_00040_Daniil Medvedev,1
fact_00043_Alexander Vovin,2
fact_00044_Cobhams Asuquo,2
fact_00045_David Bogue,2
fact_00048_Don Beard,0
fact_00053_Andriy Yarmolenko,0
fact_00058_Danny Faure,1
fact_00063_Ayman al-Zawahiri,2
fact_00064_Diego Suarez (garden designer),4
fact_00066_Daniel Alexander Cameron,2
fact_00075_Antonio Leviste,6
fact_00078_Chi Pu,6
"fact_00080_Felipe (footballer, born 1977)",6
fact_00084_Alfred Hitchcock,3
fact_00085_Dascha Polanco,2
fact_00086_Amelia Earhart,4
fact_00087_Chris John (boxer),2
fact_00088_Blair Tugman,1
fact_00093_David Oyite-Ojok,5
fact_00097_Chris Cuomo,2
fact_00098_Adnan Sami,4
fact_00108_Bhuma Nagi Reddy,5
fact_00109_Charmion King,3
fact_00110_Andreea Marin,3
fact_00114_Ahn Jae-hyun,6
fact_00116_Bobo Baldé,5
fact_00118_Chacho Gaytán,2
fact_00119_Bastian Schweinsteiger,5
fact_00120_Erich Hartmann,0
fact_00127_Ezechiel N'Douassel,4
fact_00131_Aditya Kalyanpur,5
fact_00132_Dennis Andersson,5
fact_00133_Daniel Bedingfield,6
fact_00134_Celâl Bayar,6
fact_00138_Diana Ivanova,1
fact_00140_André Le Nôtre,6
fact_00142_Cierre Wood,5
fact_00145_Carmelo Anthony,0
fact_00146_Asafa Powell,0
fact_00152_Felix Newman,4
fact_00154_Earl Garrison,2
fact_00162_Aleksandar Kolarov,4
fact_00163_Alexandre Hohagen,5
fact_00166_Emcee N.I.C.E.,2
fact_00181_Chris Woakes,4
fact_00182_Diosdado Cabello,3
fact_00184_Dana Awartani,3
fact_00185_Brianna Keilar,0
fact_00188_Cédric Bakambu,1
fact_00193_Bobby Fischer,3
fact_00198_Benjamin Lawrence Reid,6
fact_00199_Djimon Hounsou,6
fact_00202_Ahsee Tuala,0
fact_00204_Don DeLillo,5
fact_00207_Elizabeth Inglis,2
fact_00208_Fifi Cooper,4
fact_00223_Ahmed Mumin Warfa,5
fact_00226_Dewi Sartika,5
fact_00227_Alf Garland,6
fact_00230_Abdul Ilah Khatib,4
fact_00239_Bif Naked,6
fact_00245_Dominique Blake,5
fact_00247_Diafra Sakho,2
fact_00249_Fahadh Faasil,5
fact_00250_Dr. Dre,1
fact_00255_Caitlin Lowe,4
fact_00257_Camille Paulus,2
fact_00258_Charley Boorman,4
fact_00260_Douglas Wood (engineer),0
fact_00263_Billy Snedden,5
fact_00264_Esteban Espíndola,2
fact_00270_Daniel Ek,5
fact_00275_Belisarius,2
fact_00276_Carol Dweck,6
fact_00286_Amr Diab,1
fact_00296_Akbar Hossain,4
fact_00300_Coco Chanel,5
fact_00302_Enamul Haque (engineer),6
fact_00304_Abdelhamid Shabana,4
fact_00307_Abdullahi Mohammad Ahmad Hassan,2
fact_00309_Diego Godín,5
fact_00312_Adel Emam,5
fact_00315_Billy Conigliaro,5
fact_00316_Arif Mohammad Khan,0
fact_00321_Bob Marley,6
fact_00328_Dana Ashbrook,5
fact_00332_Cha Eun-woo,1
fact_00333_Abdul Halik Hudu,5
fact_00335_Carl Braun (obstetrician),4
fact_00343_Ameyaw Debrah,0
fact_00344_Cleopatra,3
fact_00345_Ana Cláudia Bolzan,6
fact_00347_Evgeny Shalunov,2
fact_00348_Charles Allen (jurist),6
fact_00349_Deyverson,5
fact_00351_Cris Cyborg,3
fact_00354_Bobby Thomson,3
fact_00356_Eric Winter,3
fact_00362_Aert van der Neer,4
fact_00364_Blanca Errázuriz,0
fact_00366_Deitrick Haddon,5
fact_00367_Andreas Ivanschitz,3
fact_00368_Clancy Brown,6
fact_00371_Carrie Ann Inaba,3
fact_00374_Cicero,4
fact_00376_14th Dalai Lama,0
fact_00377_Christian Almeida,3
fact_00378_Arthur Wakefield,2
fact_00384_Andry Rajoelina,2
fact_00394_Danny Almonte,1
fact_00396_Andy Middleton,4
fact_00397_Anderson Silva,2
fact_00399_Edgar Bennett,3
fact_00401_Balázs Bekő,3
fact_00404_Abraham Ancer,3
fact_00418_A. K. Ramanujan,5
fact_00420_Carlos Ghosn,1
fact_00421_Anurag Kashyap,0
fact_00425_Angela Bairstow,3
fact_00427_Ernestine Eckstein,6
fact_00430_Ezekiel Elliott,4
fact_00433_Aaron Burr,3
fact_00444_Charles B. McVay III,5
fact_00448_Carol Chell,1
fact_00449_Alen Omić,1
fact_00452_Alice Torriani,0
fact_00454_Albert Outler,1
fact_00459_Felician of Foligno,3
fact_00460_Annie Landouw,3
fact_00462_Bhāskara I,2
fact_00464_Damon Herriman,6
fact_00466_Feroze Gandhi,5
fact_00471_D. B. Nihalsinghe,3
fact_00478_F. Gwynplaine MacIntyre,5
fact_00486_Fidel Castro,6
fact_00489_Bir Hambir,1
fact_00491_Avraham Eilam-Amzallag,2
fact_00492_Date Narikuni,6
fact_00495_Ariel Behar,1
fact_00498_DeAnna Bennett,2
g4fs4z,2
gyp3c3,2
hmsv36,6
hrkod1,3
irdp6g,0
iuj8br,1
jizn99,1
jjrido,5
llrdyo,1
lvcurd,6
m70bt5,1
mjrz7h,2
neutral_bio_000,0
neutral_bio_001,3
neutral_bio_002,3
neutral_bio_003,5
neutral_bio_004,4
neutral_bio_005,4
neutral_bio_006,0
neutral_bio_007,0
neutral_bio_008,1
neutral_bio_009,0
neutral_bio_010,1
neutral_bio_011,4
neutral_bio_012,6
neutral_bio_013,0
neutral_bio_014,6
neutral_bio_015,1
neutral_bio_016,0
neutral_bio_017,5
neutral_bio_018,1
neutral_bio_019,1
neutral_bio_020,6
neutral_bio_021,4
neutral_bio_022,1
neutral_bio_023,2
neutral_bio_024,5
neutral_bio_025,4
neutral_bio_026,0
neutral_bio_027,1
neutral_bio_028,6
neutral_bio_029,0
neutral_bio_030,1
neutral_bio_031,4
neutral_bio_032,0
neutral_bio_033,3
neutral_bio_034,2
neutral_bio_035,2
neutral_bio_036,1
neutral_bio_037,4
neutral_bio_038,2
neutral_bio_039,6
neutral_nar_000,6
neutral_nar_001,1
neutral_nar_002,4
neutral_nar_003,5
neutral_nar_004,2
neutral_nar_005,4
neutral_nar_006,1
neutral_nar_007,0
neutral_nar_008,0
neutral_nar_009,2
neutral_nar_010,2
neutral_nar_011,4
neutral_nar_012,1
neutral_nar_013,6
neutral_nar_014,2
neutral_nar_015,2
neutral_nar_016,6
neutral_nar_017,0
neutral_nar_018,3
neutral_nar_019,3
neutral_nar_020,5
neutral_nar_021,3
neutral_nar_022,3
neutral_nar_023,5
neutral_nar_024,1
neutral_nar_025,1
neutral_nar_026,6
neutral_nar_027,5
neutral_nar_028,2
neutral_nar_029,3
neutral_nar_030,0
neutral_nar_031,6
neutral_nar_032,5
neutral_nar_033,3
neutral_nar_034,5
neutral_nar_035,0
neutral_nar_036,6
neutral_nar_037,4
neutral_nar_038,5
neutral_nar_039,5
neutral_ncs_000,0
neutral_ncs_001,1
neutral_ncs_002,5
neutral_ncs_003,2
neutral_ncs_004,2
neutral_ncs_005,0
neutral_ncs_006,0
neutral_ncs_007,4
neutral_ncs_008,6
neutral_ncs_009,2
neutral_ncs_010,1
neutral_ncs_011,1
neutral_ncs_012,3
neutral_ncs_013,0
neutral_ncs_014,0
neutral_ncs_015,2
neutral_ncs_016,0
neutral_ncs_017,2
neutral_ncs_018,4
neutral_ncs_019,0
neutral_ncs_020,4
neutral_ncs_021,0
neutral_ncs_022,1
neutral_ncs_023,5
neutral_ncs_024,2
neutral_ncs_025,5
neutral_ncs_026,1
neutral_ncs_027,4
neutral_ncs_028,2
neutral_ncs_029,3
neutral_ncs_030,2
neutral_ncs_031,3
neutral_ncs_032,0
neutral_ncs_033,0
neutral_ncs_034,6
neutral_ncs_035,2
neutral_ncs_036,1
neutral_ncs_037,0
neutral_ncs_038,0
neutral_ncs_039,4
neutral_qa_000,1
neutral_qa_001,4
neutral_qa_002,4
neutral_qa_003,3
neutral_qa_004,4
neutral_qa_005,1
neutral_qa_006,2
neutral_qa_007,2
neutral_qa_008,0
neutral_qa_009,5
neutral_qa_010,3
neutral_qa_011,0
neutral_qa_012,1
neutral_qa_013,4
neutral_qa_014,0
neutral_qa_015,0
neutral_qa_016,1
neutral_qa_017,5
neutral_qa_018,0
neutral_qa_019,1
neutral_qa_020,5
neutral_qa_021,4
neutral_qa_022,2
neutral_qa_023,1
neutral_qa_024,6
neutral_qa_025,1
neutral_qa_026,2
neutral_qa_027,5
neutral_qa_028,2
neutral_qa_029,0
neutral_qa_030,5
neutral_qa_031,5
neutral_qa_032,6
neutral_qa_033,0
neutral_qa_034,1
neutral_qa_035,5
neutral_qa_036,0
neutral_qa_037,6
neutral_qa_038,0
neutral_qa_039,1
neutral_sum_000,5
neutral_sum_001,6
neutral_sum_002,0
neutral_sum_003,3
neutral_sum_004,6
neutral_sum_005,3
neutral_sum_006,4
neutral_sum_007,4
neutral_sum_008,6
neutral_sum_009,0
neutral_sum_010,2
neutral_sum_011,4
neutral_sum_012,5
neutral_sum_013,6
neutral_sum_014,2
neutral_sum_015,6
neutral_sum_016,1
neutral_sum_017,1
neutral_sum_018,4
neutral_sum_019,4
neutral_sum_020,1
neutral_sum_021,5
neutral_sum_022,1
neutral_sum_023,3
neutral_sum_024,1
